A_name,B_name,train_beta,train_t,test_beta,test_t,test_p
電腦週邊,通信網路,0.390856382854066,2.2824929227487565,0.20654120714793672,1.7871183809705529,0.0739183572580949
運動科技,連接器,0.11814223733815281,2.1261807932851173,0.09849996774912365,1.745447125096975,0.08090706872964927
電子商務,運動科技,0.10131264101251275,2.6185718781527454,0.08844561389080378,1.7410635435949424,0.08167244078560383
電子商務,其他,0.08046474856964093,2.2562884273758304,0.07282205003680392,1.71153369680011,0.086982636179014
運動科技,區塊鏈,0.14196447497767747,2.079477465455519,0.1321275790683135,1.7004827457864424,0.0890401591785688
電子商務,雲端運算,0.10243395089540076,2.5325026572248777,0.07569908117364027,1.6917676619658346,0.09069028168294381
半導體,電子商務,0.20378948520613613,2.2508183386691147,0.11146275434923571,1.6731753793888509,0.09429277568838042
電子商務,大數據,0.10672099462842133,2.499889034187666,0.07417665061928638,1.6557030839542806,0.09778196247395636
電子商務,電機機械,0.0852579062478536,2.5234572148472956,0.08214855847108019,1.6472934700605077,0.09949773944219799
運動科技,平面顯示器,0.14486576744137272,2.241559232758079,0.09055064567416883,1.6399570711677969,0.10101409311925094
半導體,食品生技,0.24869129864681855,2.3114205749521934,0.1078413348961051,1.6341861444734864,0.10221977095401322
太空衛星科技,大數據,0.09346201654097118,2.1202055875773285,0.06266186954759925,1.6237971715006727,0.1044191039383452
電子商務,醫療器材,0.08899776331622451,2.2690972481059166,0.06502867661519669,1.6236386262942484,0.10445295662982489
運動科技,大數據,0.12913271150194727,2.1781132861387538,0.0773550576572545,1.615571583714346,0.10618697183063965
電子商務,食品,0.08859548509113443,2.208973093282733,0.053689305781627686,1.6121192638970336,0.10693598952937605
電子商務,石化及塑橡膠,0.09218902914636502,2.3441995347526423,0.06753828841089304,1.6008468463665555,0.10941084482722015
電子商務,被動元件,0.0957644656714143,2.32606478407998,0.11077967492071451,1.5945131622878292,0.11082114506195744
運動科技,人工智慧,0.14771760116777713,2.275591082271926,0.08500641822283571,1.5828324198932213,0.11345966525878479
運動科技,通信網路,0.13442845707182333,2.2958491977524744,0.08476348946712033,1.5734495442928085,0.11561476265616707
電腦週邊,平面顯示器,0.45365036182125057,3.021064081305172,0.18493903271219647,1.563026032317168,0.11804647188143298
運動科技,金融科技,0.15145809610875316,2.133016313514093,0.08447207523356492,1.5137251053469127,0.13009557479276937
電子商務,紡織,0.08889384188792167,2.448409346836208,0.06984886864572422,1.507466981238097,0.13169100115661786
太空衛星科技,再生醫療,0.17139272958458318,2.6527079840977197,0.07424347095830858,1.485064587972514,0.13752671558988527
太空衛星科技,通信網路,0.0998759697916555,2.2243141509994206,0.0727920220731462,1.4820577208955301,0.13832493716965175
電子商務,資通訊安全,0.09803014547803166,2.340356176362395,0.06978517734107824,1.4660716438386558,0.14262876987046255
電子商務,平面顯示器,0.10377008773695358,2.4272650558510627,0.0832995038198693,1.4529483610328353,0.1462380920746573
太空衛星科技,自動化,0.10533887847330137,2.1511187308316395,0.0716137218762649,1.4312244879263083,0.15236588749077967
電子商務,區塊鏈,0.11710906652392276,2.487367946752252,0.0950603541249958,1.3997610290428368,0.16158489147045485
電子商務,軟體服務,0.09994867962773799,2.7154675383817954,0.059768463857081025,1.3902831000757145,0.16444292764639545
太空衛星科技,休閒娛樂,0.08358741602717874,2.219692429576157,0.05314967902842334,1.3615120164152081,0.17335193873471433
電腦週邊,被動元件,0.34824592186590314,2.4020873827819864,0.20490998506736596,1.2995047472062522,0.19377076536618598
運動科技,雲端運算,0.12188965339655088,2.10774882928116,0.06645831565569485,1.2945916594641023,0.19546113111501096
半導體,文化創意,0.2082075962093137,2.4248960381128146,0.08340359843191254,1.278967202213609,0.20090860571498126
休閒娛樂,食品,0.13989051534747832,2.0169165164383203,0.03940677687659212,1.2193483037356343,0.2227120222509431
電腦週邊,區塊鏈,0.3865802488747296,2.533171123608452,0.22290479104289532,1.128567888973054,0.259080163018073
運動科技,半導體,0.14066370823380958,2.113908183284932,0.06916279794034406,1.1246377373325689,0.26074257555339353
運動科技,觸控面板,0.1448589748910588,2.290480013005947,0.060477676553368866,1.1165314873911238,0.2641946998254948
太空衛星科技,金融科技,0.1483455522499563,2.7789829916342295,0.05064101699967363,1.0585971027774999,0.2897833069336382
電子商務,食品生技,0.13110056779100293,2.7633092839427618,0.04408930844997836,0.996465531516858,0.31902400646732976
電子商務,製藥,0.10629920080382327,2.085913513419156,0.050176171382823376,0.9824775840916982,0.3258646208889817
運動科技,太空衛星科技,0.1679337668258239,2.297384788322714,0.05233493154688744,0.7695218012577708,0.44158360738258573
太空衛星科技,區塊鏈,0.13645532988481776,2.769880477936584,0.043061183783439906,0.7230580436356822,0.46964422460834376
電子商務,自動化,0.11589859443720239,2.499055252600723,0.029940594598586272,0.5317287645367881,0.5949138666053587
電腦週邊,金融科技,0.32253740803924835,2.1563083180299536,0.0664037456547044,0.501994619113342,0.6156713060368826
交通運輸及航運,鋼鐵,0.14878406047548692,2.6688595340343375,0.010857185454033962,0.2664887341015352,0.7898628346994434
金融科技,軟體服務,0.06363265358322008,2.1800474182064913,0.0031224560538262967,0.10112233261084552,0.919453350054486
交通運輸及航運,造紙,0.15935043260934245,2.4193824852676027,0.0028289683063144827,0.06601832770008503,0.9473632338911293
石化及塑橡膠,油電燃氣,0.11905691264265936,2.3744543624576595,0.000443572561718006,0.011306367719792761,0.9909790159560323
觸控面板,平面顯示器,0.16030563273273338,2.336569504284984,-0.02781929902520876,-0.3425765085400194,0.7319170772639563
貿易百貨,造紙,0.21324782397879607,2.2590389086007256,-0.09398045734023004,-0.7382687330964737,0.4603511626581567
貿易百貨,水泥,0.2511325091235167,2.5140097336820135,-0.061798431598542654,-0.7538523417373728,0.45093789043806065
貿易百貨,食品,0.19121867053542743,2.287339740670711,-0.05836731544816022,-0.7620068827535489,0.44605589629761755
貿易百貨,油電燃氣,0.13038974011123536,2.8404836021448974,-0.04790929572340137,-1.0634332639486792,0.2875855144945403
貿易百貨,金融,0.19661959226934134,2.008345877578126,-0.08681255320847736,-1.2109611521001113,0.22591029374431226
交通運輸及航運,水泥,0.19284193494739874,2.4195481887540744,-0.04246928221541173,-1.8441868224069722,0.06515591814145918
