n,ann_ret,ann_vol,sharpe,max_dd,win,ann_alpha,t_alpha,beta,target,predictor,smooth_N,hold_K,cost_rt,avg_daily_turn,ann_turn
4663,0.11688623750919566,0.10595265796282134,1.1031930652481687,-0.25219245356599385,0.3755093287583101,0.074463685272501,2.7853877569539502,0.3477875812403175,P_md,P_lead,10,10,0.005,0.041389663306883984,10.430195153334765
4663,0.10124094477919351,0.10630887265972463,0.9523282699389295,-0.25667997725119895,0.3725069697619558,0.05881209840726542,2.160921846209577,0.34783918167342254,P_md,P_lead,10,10,0.008,0.041389663306883984,10.430195153334765
4663,0.09081074962585875,0.10666295100906076,0.8513804349754454,-0.25966041857387046,0.371220244477804,0.04837770716377506,1.7560332286256244,0.34787358196215923,P_md,P_lead,10,10,0.01,0.041389663306883984,10.430195153334765
4653,0.1378292538379172,0.1088932341152776,1.2657283527092884,-0.2436286867342784,0.3696539866752633,0.09270357949093139,3.420500096311048,0.3728424757142314,P_md,P_lead,10,20,0.0,0.02364066193853428,5.957446808510638
4653,0.12889308362515123,0.10887593143280429,1.1838528674696216,-0.25932319636710033,0.3690092413496669,0.0837483192396348,3.05840636587298,0.3730002036004126,P_md,P_lead,10,20,0.003,0.02364066193853428,5.957446808510638
4653,0.12293563681664059,0.1089311759757763,1.128562468140237,-0.2696176203482281,0.36814958091553834,0.07777814573877039,2.820427764626497,0.3731053555245332,P_md,P_lead,10,20,0.005,0.02364066193853428,5.957446808510638
4653,0.11399946660387464,0.10911400942364846,1.0447738764804966,-0.284810395324127,0.3662153449387492,0.06882288548747378,2.468807255138483,0.3732630834107144,P_md,P_lead,10,20,0.008,0.02364066193853428,5.957446808510638
4653,0.10804201979536401,0.10930228269551617,0.9884699306448806,-0.29477531338223484,0.3653556845046207,0.06285271198660941,2.238070686019188,0.37336823533483515,P_md,P_lead,10,20,0.01,0.02364066193853428,5.957446808510638
4672,0.199984281672385,0.09659711317045934,2.0702925285094627,-0.1546789106776827,0.3972602739726027,0.1657306997980637,7.1601350962819,0.2849847337448129,P_md,P_lead,20,1,0.0,0.11087328767123288,27.940068493150683
4672,0.158074178932659,0.09688182299699054,1.6316185435277089,-0.17723102163710214,0.3921232876712329,0.12379625051208266,4.99368825750993,0.28518729340784393,P_md,P_lead,20,1,0.003,0.11087328767123288,27.940068493150683
