src_code,src_name,dst_code,dst_name,n,beta,t,p,abs_t
D500,化學品,DC00,IP設計/IC設計代工服務,4245,-0.01673478311392333,-0.28322401185919815,0.7770051228085127,0.28322401185919815
D500,化學品,D100,IC設計,4245,0.004421994503409462,0.08816858626980059,0.929742684581238,0.08816858626980059
D500,化學品,D300,IC/晶圓製造,4245,-0.0017835727771392793,-0.03571838447022851,0.9715069112178069,0.03571838447022851
D500,化學品,D400,生產製程及檢測設備,4245,-0.056411178942824075,-1.413964230067607,0.1573724053002914,1.413964230067607
D500,化學品,D600,生產製程及檢測設備,4245,-0.02730735785605702,-0.7173445528709689,0.47316152308560344,0.7173445528709689
D500,化學品,D700,基板,4245,-0.00515357470858025,-0.12046550638568114,0.9041144025357831,0.12046550638568114
D500,化學品,D800,導線架,4245,0.0033959000874153643,0.07540887607729023,0.9398893972313661,0.07540887607729023
D500,化學品,D900,IC封裝測試,4245,-0.008464381077822845,-0.2033394919478693,0.8388696901218671,0.2033394919478693
D500,化學品,DA00,IC模組,4245,-0.05099010696664972,-1.1511910265893872,0.24965365604248846,1.1511910265893872
D500,化學品,DB00,IC通路,4245,-0.03244283962099582,-0.9197018040812456,0.3577286096207919,0.9197018040812456
D600,生產製程及檢測設備,DC00,IP設計/IC設計代工服務,4245,-0.16885023887449627,-2.458577639317502,0.01394886121834744,2.458577639317502
D600,生產製程及檢測設備,D100,IC設計,4245,-0.1064331030298597,-1.9758662033736327,0.04816993285831541,1.9758662033736327
D600,生產製程及檢測設備,D300,IC/晶圓製造,4245,-0.09396084413298246,-1.7161390172899451,0.08613660148159764,1.7161390172899451
D600,生產製程及檢測設備,D400,生產製程及檢測設備,4245,-0.013986865162468078,-0.24485574096587998,0.8065681322124807,0.24485574096587998
D600,生產製程及檢測設備,D500,化學品,4245,-0.020624730074311554,-0.4874489937576326,0.6259401806925251,0.4874489937576326
D600,生產製程及檢測設備,D700,基板,4245,-0.03556381902396034,-0.733224805762479,0.4634213283098394,0.733224805762479
D600,生產製程及檢測設備,D800,導線架,4245,-0.04481295815608497,-0.906997643759024,0.36440804324773657,0.906997643759024
D600,生產製程及檢測設備,D900,IC封裝測試,4245,-0.05425287190442557,-1.1308804661600962,0.2581054060296978,1.1308804661600962
D600,生產製程及檢測設備,DA00,IC模組,4245,-0.06276444497958196,-1.2744379455990968,0.20250825159216201,1.2744379455990968
