date,n,long,short,long_ret,short_ret,ls
2020-02-29,22,"2000,5800,C300,M000,P000,S000,V000","3000,6000,C400,D000,F000,I000,O000",0.008086670804966188,-0.013892386521215183,0.02197905732618137
2020-03-31,22,"2000,5400,5800,6000,H000,M000,S000","1000,3000,4100,C200,C300,F000,N000",-0.15431344764609817,-0.15106962252688502,-0.003243825119213145
2020-04-30,22,"1000,5400,5800,M000,N000,S000,V000","2000,3000,4100,6000,C100,C300,C400",0.12288143757435042,0.19221751122614394,-0.06933607365179352
2020-05-31,22,"4100,C100,C300,C400,D000,G000,I000","1000,2000,C200,M000,N000,S000,V000",0.0628194535220541,0.047695469539874503,0.015123983982179602
2020-06-30,22,"4100,5400,C100,C300,C400,D000,H000","5800,6000,M000,N000,O000,S000,V000",0.08936704047240858,0.05857503166312433,0.030792008809284246
2020-07-31,22,"4100,5800,C100,C300,C400,D000,I000","1000,6000,M000,N000,O000,P000,V000",0.031137615971799978,0.019047025583595945,0.012090590388204033
2020-08-31,22,"5400,5800,D000,F000,G000,H000,M000","1000,2000,6000,C100,C300,N000,O000",0.02194863266024041,0.10689525356001897,-0.08494662089977856
2020-09-30,22,"1000,2000,3000,4100,C200,F000,S000","6000,C300,C400,D000,M000,N000,V000",-0.02631676065250899,-0.01033020422994978,-0.01598655642255921
2020-10-31,22,"1000,5800,D000,G000,H000,S000,V000","2000,4100,5400,C300,C400,M000,O000",0.01745915574202047,0.010469361569508697,0.006989794172511773
2020-11-30,22,"2000,5800,G000,H000,M000,S000,V000","1000,4100,5400,C100,C300,C400,N000",0.066781289882557,0.03825424472783389,0.028527045154723103
2020-12-31,22,"3000,4100,D000,F000,G000,I000,N000","5400,5800,C100,C300,M000,P000,V000",0.03072251765958099,0.014658175447966224,0.016064342211614763
2021-01-31,22,"2000,D000,G000,H000,I000,N000,O000","1000,4100,6000,C100,C300,C400,V000",-0.07258329920073602,-0.060545421876229084,-0.01203787732450693
2021-02-28,22,"3000,4100,5800,C200,C400,D000,P000","1000,2000,C100,N000,O000,S000,V000",0.05457964973900075,0.0957161499250113,-0.041136500186010554
2021-03-31,22,"1000,2000,C100,D000,I000,O000,S000","3000,4100,5800,6000,C200,M000,P000",0.06741610310883732,0.08884407162540256,-0.02142796851656524
2021-04-30,22,"5800,6000,C200,C400,D000,F000,M000","4100,5400,C100,C300,N000,O000,P000",0.03629960466328107,0.06398385608399364,-0.02768425142071257
