variant,mc_filter,N,timed,n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta,ann_turn
ratio,top50%,15,False,3423,0.2110931887456286,0.19088710809085258,1.1058535636946156,-0.36283021473675636,0.05365054784767386,1.604067067771976,1.089847034454849,1.8798459563543004
ratio,top50%,15,True,3423,0.13463395236669942,0.1192050466992694,1.129431648194846,-0.17289696610926342,0.08731272425200505,2.572914930943859,0.3275662795886895,29.88703465982028
ratio,top50%,20,False,3423,0.20717853453361146,0.19265651130269879,1.0753777961238795,-0.36320400068681646,0.04568135895406804,1.422661845795006,1.1179132722518113,1.960337735526614
ratio,top50%,20,True,3423,0.13151181851929866,0.11930912622341427,1.10227794538562,-0.18514074056095742,0.08257193345404691,2.4664366924938697,0.338770921909877,29.955841086519058
ratio,top30%,10,False,3423,0.1971059027907703,0.1974767090614909,0.9981222784576327,-0.362701692678723,0.04472789510202453,1.2182992300237891,1.0547887081197658,2.2560547710740266
ratio,top30%,10,True,3423,0.12428372430865,0.12824304384598323,0.9691264382176685,-0.19326668517226986,0.07816707937363905,2.1680585253697306,0.31922793237446145,30.129054343175014
ratio,top30%,15,False,3423,0.19794578495886303,0.2003950854522159,0.9877776419125962,-0.3413514239384484,0.039178976231260154,1.0332137902807443,1.0990131686992417,2.2174145922541304
ratio,top30%,15,True,3423,0.12422772655973995,0.1284878002573308,0.9668445277368051,-0.20679876615348758,0.07585560244477996,2.0113986293708668,0.3348407757663311,30.221056820800083
ratio,top30%,20,False,3423,0.20718733075983864,0.20143204790786587,1.0285718330908558,-0.3413514239384483,0.04675143741903854,1.2061008687751402,1.1105668806134512,2.1854762362077054
ratio,top30%,20,True,3423,0.12891183180720872,0.12886440744075164,1.000368017572881,-0.20657065704220368,0.07971205718436608,2.1048804453445853,0.34056992542004894,30.19969657884505
pure_mc,no_filter,10,False,3423,0.20978587964868287,0.19885413276981934,1.0549736971849482,-0.3563183483325414,0.06814004249348633,1.4102674556991237,0.9804986418293161,0.5715019255455713
pure_mc,no_filter,10,True,3423,0.09900969031578129,0.1264261251983293,0.783142646826051,-0.27278011987314177,0.057506930263284343,1.5103787917197258,0.28728976919423965,26.86059050064185
pure_mc,no_filter,15,False,3423,0.19925948227716658,0.18962785816355118,1.0507922422733282,-0.3662253795295649,0.05652932086781137,1.3076296667704075,0.9880045345534367,0.5858793324775353
pure_mc,no_filter,15,True,3423,0.10253565583465343,0.11929158362546768,0.8595380555645755,-0.23173497324242687,0.06023444872051384,1.6589368073113124,0.2928167672002272,26.860590500641848
pure_mc,no_filter,20,False,3423,0.20639027817311395,0.19270484361199355,1.0710175951190708,-0.3459397741424023,0.056349976421133374,1.2402961951762326,1.0386066759328019,0.6092426187419769
pure_mc,no_filter,20,True,3423,0.11157313378681889,0.12081819834876072,0.9234795362925834,-0.22151425918479106,0.0666093183965681,1.694500463084636,0.3112478333782619,26.887548138639282
