n,F_lag1,p_lag1,F_lag2,p_lag2,F_lag3,p_lag3,F_lag5,p_lag5,weight,industry_code,industry_name,src,dst,freq,lags,F_lag4,p_lag4
580,2.2894834156213664,0.13080174050581952,1.1728458849004173,0.31022675684153284,,,,,VW,5400,雲端運算,上游,下游,W,"1,2,4",2.07402671079656,0.08282140733611587
135,1.6202054178187948,0.20531750543503818,0.9875870893758663,0.3752942746378058,1.198937558816174,0.3130455594408283,,,VW,5400,雲端運算,上游,下游,M,"1,2,3",,
2746,2.4281242524309032,0.11929083003274796,1.2860093097630594,0.27653831859124295,1.1685402504149467,0.3202415193789384,1.532048997187548,0.1763807939681282,VW,5400,雲端運算,下游,上游,D,"1,2,3,5",,
580,3.0802235477950966,0.07978124102623993,1.5402441875605102,0.21521478788320744,,,,,VW,5400,雲端運算,下游,上游,W,"1,2,4",1.5064691541011368,0.19880245617651798
135,0.93262436145284,0.3359613475979072,1.5084124439483566,0.22516742130902878,2.000186757955108,0.11737916690919684,,,VW,5400,雲端運算,下游,上游,M,"1,2,3",,
2746,6.640253619399709,0.010021801493633834,6.18513940364129,0.002088698378401786,4.200888155627906,0.005649237362671028,3.0738717079748135,0.009024078992183365,VW,5400,雲端運算,上游,中游,D,"1,2,3,5",,
580,3.7153690511090565,0.05440509681280888,1.7886276620377786,0.16812163149489942,,,,,VW,5400,雲端運算,上游,中游,W,"1,2,4",1.513062687049765,0.19686164125212957
135,0.5726084975551556,0.4505830035112126,0.4819479813716639,0.6186952828660028,0.7009727154305526,0.5531827912738951,,,VW,5400,雲端運算,上游,中游,M,"1,2,3",,
2746,8.052032950112372,0.004578667215493594,4.909940728538273,0.0074379490560981315,3.2706138595827574,0.020381495656407574,2.8150903789814974,0.015313608186574455,VW,5400,雲端運算,中游,上游,D,"1,2,3,5",,
580,8.06965582718232,0.004660443817480125,4.504511702045698,0.01145341505575333,,,,,VW,5400,雲端運算,中游,上游,W,"1,2,4",2.280183485325851,0.05951768666503271
135,0.01790640982707078,0.8937543534841225,0.5468971635601223,0.580089023092081,1.2686894094056285,0.28807977620204345,,,VW,5400,雲端運算,中游,上游,M,"1,2,3",,
2746,2.363429998715933,0.12432419818388325,2.596617154320537,0.07470870763272691,2.4705973787331232,0.060100583219543216,1.6170420815433857,0.15200535705990642,VW,5400,雲端運算,中游,下游,D,"1,2,3,5",,
580,1.3405548080785374,0.24741601504447724,0.9252484559263356,0.39702436587193446,,,,,VW,5400,雲端運算,中游,下游,W,"1,2,4",0.9335960130167962,0.4439661207455966
135,0.03003630450478024,0.8626753876125723,0.03300019386110409,0.9675466009591405,0.08597608687612433,0.9676008965772106,,,VW,5400,雲端運算,中游,下游,M,"1,2,3",,
2746,6.294308410303537,0.012169889659644243,8.629653102517299,0.00018363183616213564,6.124762131677508,0.00037849666071526476,3.774044040089802,0.0020801800615938464,VW,5400,雲端運算,下游,中游,D,"1,2,3,5",,
580,2.732885170447092,0.09884644520327449,1.4219772040138268,0.24208654136306362,,,,,VW,5400,雲端運算,下游,中游,W,"1,2,4",0.8518388446137493,0.4927578964690451
135,0.4063509221155381,0.5249400296156426,0.3900032087330021,0.6778564673785222,0.44549820882373203,0.720911232934778,,,VW,5400,雲端運算,下游,中游,M,"1,2,3",,
2737,4.282267839554029,0.038605713149458036,5.7538523470245355,0.0032091175706886353,3.9991891250785945,0.007474677642118262,2.476415802042444,0.030164868917132142,VW,5800,運動科技,上游,下游,D,"1,2,3,5",,
578,1.5216654962673732,0.2178725060689305,2.221407470040268,0.10939283145460325,,,,,VW,5800,運動科技,上游,下游,W,"1,2,4",2.490284545257098,0.0422905659920911
135,2.771389735760296,0.09835282516611084,2.2836655376411747,0.10604769473221853,1.5508362262411912,0.2047315945914542,,,VW,5800,運動科技,上游,下游,M,"1,2,3",,
2737,1.7670831068161912,0.1838544313041552,3.420654063904337,0.032831226914502284,2.9934485335133267,0.029729709344494773,1.927296850601841,0.08659305588962532,VW,5800,運動科技,下游,上游,D,"1,2,3,5",,
578,2.8522547229995374,0.09178898643887981,2.251783798678564,0.10614490091347674,,,,,VW,5800,運動科技,下游,上游,W,"1,2,4",1.239585828807704,0.2929420158163579
135,0.11115728393015491,0.7393634516696429,0.07045891520486264,0.9320021487126287,0.4079148982945558,0.7475785419420515,,,VW,5800,運動科技,下游,上游,M,"1,2,3",,
2739,0.6617917558204429,0.41599891202813377,0.4024377210276928,0.6687276168172046,0.31299112389972616,0.8160113554703241,0.21004141398070442,0.958383610727188,VW,5800,運動科技,上游,中游,D,"1,2,3,5",,
578,1.6726958363895181,0.1964180801193741,0.8751933156995362,0.41733976326501593,,,,,VW,5800,運動科技,上游,中游,W,"1,2,4",0.4904091933410076,0.7428031263137969
135,0.009241849067281604,0.9235606337275272,0.060317682175210115,0.9414921427247718,0.06087682814445673,0.9802508680793222,,,VW,5800,運動科技,上游,中游,M,"1,2,3",,
2739,8.489803698588718,0.003600395929995977,7.237043697657806,0.0007333112828121922,5.499406978200106,0.0009161370327963496,3.8120297983899882,0.0019186728035179448,VW,5800,運動科技,中游,上游,D,"1,2,3,5",,
578,3.9939663269772874,0.04613463838785992,2.916988290689045,0.05490299337309966,,,,,VW,5800,運動科技,中游,上游,W,"1,2,4",1.6132746833358222,0.16939284846409583
135,0.6591848986625668,0.4183207025815035,0.45855228492453337,0.6332326722075803,0.21849953350903506,0.8834100055746359,,,VW,5800,運動科技,中游,上游,M,"1,2,3",,
2737,18.110948989939708,2.1541567472285304e-05,11.872680037800468,7.346080815253723e-06,7.89025681795157,3.0670408302240965e-05,5.57755157749463,4.05291229820549e-05,VW,5800,運動科技,中游,下游,D,"1,2,3,5",,
578,0.16664105547782038,0.6832666563080186,1.214441988527803,0.2976412634744791,,,,,VW,5800,運動科技,中游,下游,W,"1,2,4",1.4926311519385402,0.20293691604022168
135,0.154398452041046,0.69500566725106,0.8682387411008325,0.42214682205050225,1.342993892931054,0.2635035002861191,,,VW,5800,運動科技,中游,下游,M,"1,2,3",,
2737,0.7628295488737048,0.3825212036547816,2.4946488332532817,0.08271353555688057,2.023074229475337,0.10855708648882904,1.4232340881356054,0.2125297292337483,VW,5800,運動科技,下游,中游,D,"1,2,3,5",,
