variant,tv_filter,N,timed,n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta,ann_turn
ratio,top50%,15,False,3423,0.19646807655423318,0.2155917341365505,0.9112968887285593,-0.42348821797227343,0.019200316583489935,0.5060924475083146,1.2270801696840574,2.3830551989730426
ratio,top50%,15,True,3423,0.1414917824420578,0.1360645815621559,1.0398869479301098,-0.2208671349752107,0.08728467761559927,2.2288344272567606,0.3752315897685525,30.21052631578947
ratio,top50%,20,False,3423,0.18960689138311854,0.21780999692153824,0.8705151006058768,-0.4298136797300869,0.006873292793062193,0.1963390105802472,1.2649157139565148,2.485733012210357
ratio,top50%,20,True,3423,0.13438233229592364,0.1357369520932371,0.9900202577380478,-0.23174089687085697,0.07848161063493489,2.0717795974579833,0.38695511824907386,30.284601398156724
ratio,top30%,10,False,3423,0.18395666786636225,0.23508967247522566,0.78249574270749,-0.4256534339720136,0.0027530718835442934,0.06715687122581386,1.2543247533711452,2.928198545143346
ratio,top30%,10,True,3423,0.10929789839978953,0.15237565316078733,0.7172924029041438,-0.2586092420203213,0.054190020227522,1.2984178489014004,0.3814669092096325,30.540008557980315
ratio,top30%,15,False,3423,0.19245722265762202,0.23419202669186712,0.8217923785716381,-0.393872515413906,0.0068064269271405076,0.16704575888162657,1.2851090912670065,2.813337283170403
ratio,top30%,15,True,3423,0.1177392114857515,0.1502478707667408,0.783633144915186,-0.26706629761760325,0.06076685914638657,1.433893930551295,0.394373143697567,30.562213823831286
ratio,top30%,20,False,3423,0.2071712911191173,0.2329047649726585,0.8895107454904921,-0.3899874274413815,0.021360635263090132,0.5254370529447605,1.2862156725766172,2.685129464673772
ratio,top30%,20,True,3423,0.12502365060455758,0.14879528957806626,0.8402393043427846,-0.26706629761760325,0.06796479969699366,1.6009180150424713,0.3949719027599068,30.48230904792186
pure_tv,no_filter,10,False,3423,0.24019313377178544,0.2661975778581702,0.9023114924800709,-0.44418037470899674,0.037610166303300926,0.6369732407946881,1.4023167108184542,1.951732991014121
pure_tv,no_filter,10,True,3423,0.11849137016755845,0.17079625214308483,0.6937586081707,-0.3552954635545157,0.0572577490275706,1.06630583646957,0.4238704332430595,29.890629011553273
pure_tv,no_filter,15,False,3423,0.22919040947425387,0.2529084917402907,0.9062187192575857,-0.41369189561698505,0.028670952420713155,0.545623176989929,1.3880327106678805,1.6426187419768936
pure_tv,no_filter,15,True,3423,0.11591563338932304,0.15927920162815393,0.7277512205261707,-0.3184185615470738,0.0552946943995969,1.1151139997182775,0.41962933425794424,29.779204107830548
pure_tv,no_filter,20,False,3423,0.21276171864244015,0.2433654719417438,0.8742477597371353,-0.43635866058169925,0.014149373325651457,0.30895411088343544,1.374831331049125,1.6174582798459565
pure_tv,no_filter,20,True,3423,0.1255636075097003,0.15338151548941603,0.8186358513217633,-0.28961141554701875,0.06453974733961385,1.4190409149053285,0.4224184290738736,29.734274711168162
