A,B,n,beta_AB,t_AB,p_AB,L_strict,L_loose,S_undir,A_name,B_name
5200,5500,859,0.0067965966738338995,0.10649030171771584,0.9151933497637809,0,0,11,金融科技,資通訊安全
5200,5600,859,0.04945385421774698,0.6935222422017775,0.48798187245738045,0,0,14,金融科技,大數據
5200,5700,859,0.011698660204443545,0.23871620688256295,0.8113256487538474,0,0,1,金融科技,體驗科技
5200,5800,859,-0.01786755139768956,-0.3956117918447509,0.692391436737654,0,0,1,金融科技,運動科技
5200,6000,859,-0.017975311518631347,-0.26414211839495333,0.7916704102303583,0,0,0,金融科技,自動化
5200,B000,859,0.0016585907296756562,0.034592607784539764,0.9724045961070454,0,0,2,金融科技,休閒娛樂
5200,C100,859,-0.06394283086304667,-1.123414486210584,0.2612615002405545,0,0,0,金融科技,製藥
5200,C200,859,-0.020972913473439832,-0.40756010168202417,0.6835966612191824,0,0,1,金融科技,醫療器材
5200,C300,859,-0.06695978855495426,-1.2317249377333606,0.21805185104685887,0,0,0,金融科技,食品生技
5200,C400,859,-0.08839948764439942,-1.2645789547472874,0.20602230113256137,0,0,0,金融科技,再生醫療
5200,D000,859,0.021652515968194428,0.41445877264479913,0.6785381541224489,0,0,0,金融科技,半導體
5200,F000,859,0.005522730894131328,0.11141051554549362,0.9112908217751315,0,0,3,金融科技,電腦週邊
5200,G000,859,0.004310135337412586,0.0856422481500451,0.9317508126487419,0,0,0,金融科技,平面顯示器
5200,H000,859,0.013469874140213342,0.28029116893525186,0.7792541255261596,0,0,0,金融科技,觸控面板
5200,I000,859,0.012105247505296799,0.25679356814301435,0.7973381355009906,0,0,2,金融科技,通信網路
5200,J000,859,0.00976998405824359,0.1623783471877279,0.871007920986387,0,0,0,金融科技,被動元件
5200,K000,859,-0.0009206340320013391,-0.017960538782768366,0.9856703338185661,0,0,0,金融科技,連接器
5200,L000,859,0.02685043056082211,0.5236247293542161,0.6005395779790061,0,0,0,金融科技,印刷電路板
5200,M000,859,0.04294446802286152,1.1522167851563951,0.24923200190377248,0,0,0,金融科技,食品
5200,N000,859,0.017887633726184654,0.4891858498886481,0.6247101264634325,0,0,0,金融科技,石化及塑橡膠
5200,O000,859,-0.011788715318812825,-0.2803315192403535,0.7792231709644305,0,0,0,金融科技,紡織
5200,P000,859,0.0014467752993134661,0.03547655226194791,0.9716997431875322,0,0,0,金融科技,電機機械
5200,Q000,859,0.04366594557923169,0.9762637539891866,0.32893377686519987,0,0,0,金融科技,鋼鐵
5200,R000,859,0.04250800640503684,0.6834806039423491,0.4943032023176901,0,0,18,金融科技,軟體服務
5200,R300,859,0.03570020712965371,0.7110134029904854,0.47707593027699713,0,0,15,金融科技,電子商務
5200,S000,859,0.007766165189301133,0.19653165891827715,0.8441940555796301,0,0,0,金融科技,建材營造
5200,T000,859,0.08581808973253949,1.7226046812615523,0.08496003788173716,0,0,0,金融科技,交通運輸及航運
5200,U000,859,0.05379382144872953,1.131244683037707,0.25795211981120625,0,0,2,金融科技,金融
5200,V000,859,0.02278753559214033,0.5466020955902209,0.5846521290675399,0,0,0,金融科技,貿易百貨
5200,W000,859,-0.0016812193053038847,-0.07493078500357812,0.940269782510408,0,0,0,金融科技,油電燃氣
5200,X000,859,0.0021986790909821812,0.05133271229427416,0.9590604018152992,0,0,2,金融科技,其他
5200,Y000,859,-0.008574553091981721,-0.166666680567461,0.8676323238399436,0,0,1,金融科技,文化創意
5300,1000,859,0.0968080943291704,1.0946453982540434,0.2736720183253837,0,0,0,人工智慧,水泥
5300,2000,859,0.09571857244249939,0.7721355754275848,0.440034133694268,0,0,0,人工智慧,造紙
5300,3000,859,0.05350591078328802,0.5713850777458324,0.5677386420528605,0,0,4,人工智慧,汽車
5300,4100,859,0.04255699588960797,0.35765408555547423,0.7206021975318622,0,0,5,人工智慧,太空衛星科技
5300,5100,859,0.07814255050762199,0.6045767274553066,0.5454602738384142,0,0,6,人工智慧,區塊鏈
5300,5200,859,0.17870064196306543,1.3841198200177556,0.16632176898524875,0,0,15,人工智慧,金融科技
5300,5400,859,0.14969447227160187,1.167114437197838,0.24316415827961912,0,0,49,人工智慧,雲端運算
5300,5500,859,0.11099591769278734,0.9848078044214794,0.32471848637279355,0,0,26,人工智慧,資通訊安全
5300,5600,859,0.2130871600669134,1.6008894527754216,0.10940140607382218,0,0,46,人工智慧,大數據
5300,5700,859,0.12116576979293309,1.0709612927050838,0.2841868342866022,0,0,12,人工智慧,體驗科技
5300,5800,859,0.04036613292460828,0.41452893475757774,0.678486781030567,0,0,5,人工智慧,運動科技
5300,6000,859,0.0332499486290367,0.28599576268044846,0.7748813669657075,0,0,5,人工智慧,自動化
5300,B000,859,0.02171622317993271,0.2050929351278799,0.8374995160658326,0,0,1,人工智慧,休閒娛樂
5300,C100,859,-0.03011028833201336,-0.2301859766652891,0.8179472583062216,0,0,0,人工智慧,製藥
5300,C200,859,0.03971875641986454,0.3991649482759747,0.6897716686700102,0,0,7,人工智慧,醫療器材
5300,C300,859,-0.03908381686479083,-0.34557298630345945,0.7296636503696559,0,0,0,人工智慧,食品生技
5300,C400,859,-0.09039845522520601,-0.6425007224403995,0.5205481203884024,0,0,0,人工智慧,再生醫療
5300,D000,859,0.05792269919033168,0.5146326999033443,0.6068097102073143,0,0,16,人工智慧,半導體
5300,F000,859,0.030475700272370374,0.30040530980289454,0.763868013985039,0,0,27,人工智慧,電腦週邊
5300,G000,859,0.03805275007552465,0.3732343174100536,0.7089740569389873,0,0,9,人工智慧,平面顯示器
5300,H000,859,0.038787783269125235,0.3408312435330135,0.7332306282895227,0,0,3,人工智慧,觸控面板
5300,I000,859,0.0839659807858609,0.8318824824520429,0.4054752805381293,0,0,16,人工智慧,通信網路
5300,J000,859,0.09253018326392205,0.8087180653968656,0.4186773344616156,0,0,1,人工智慧,被動元件
5300,K000,859,0.003179727778044183,0.030461307215508313,0.9756991514197199,0,0,1,人工智慧,連接器
5300,L000,859,0.08180248573410698,0.7669898822451284,0.4430875311488941,0,0,5,人工智慧,印刷電路板
5300,M000,859,0.05279166711497133,0.6391157113872894,0.5227476597387244,0,0,0,人工智慧,食品
5300,N000,859,0.12311832989346039,1.5173814527145975,0.12917040392710671,0,0,0,人工智慧,石化及塑橡膠
