n,ann_ret,ann_vol,sharpe,max_dd,win,ann_alpha,t_alpha,beta,predictor,smooth_N,hold_K,cost_rt,avg_daily_turn,ann_turn
4663,0.1534940523373415,0.12842695313481103,1.1951856568318437,-0.3577710057860678,0.34312674244048896,0.10057529082836522,4.097366872436828,0.4338373600143881,D100,1,10,0.0,0.04717992708556723,11.889341625562942
4663,0.1356600398989971,0.1284654260063856,1.0560042815897712,-0.3748784463552254,0.34248337979841303,0.08265938298694481,3.321384866803792,0.4345087530034657,D100,1,10,0.003,0.04717992708556723,11.889341625562942
4663,0.12377069827343416,0.12860125072198322,0.9624377490776355,-0.3860433138751326,0.3405532918721853,0.0707154444259979,2.813970389759667,0.43495634832951746,D100,1,10,0.005,0.04717992708556723,11.889341625562942
4663,0.10593668583508974,0.12896955580491082,0.8214084725184109,-0.4024380864364192,0.3381942955179069,0.052799536584577526,2.0691224793787786,0.43562774131859505,D100,1,10,0.008,0.04717992708556723,11.889341625562942
4663,0.09404734420952679,0.12932407548198394,0.727222242718669,-0.4131372725227658,0.3366931160197298,0.04085559802363062,1.5840943592048122,0.43607533664464676,D100,1,10,0.01,0.04717992708556723,11.889341625562942
4653,0.1283769169324793,0.14001759182888798,0.9168627688538277,-0.47450516473709947,0.33935095637223295,0.06495553236475408,2.050072161348845,0.5240073722473794,D100,1,20,0.0,0.0223511712873415,5.6324951644100585
4653,0.11992817418586421,0.13999082337901933,0.8566859690592982,-0.47924857798913323,0.33870621104663656,0.05649787299978286,1.78242177414168,0.5240810441450523,D100,1,20,0.003,0.0223511712873415,5.6324951644100585
4653,0.11429567902145414,0.14002215241835436,0.8162685478506618,-0.4823909882347983,0.33784655061250807,0.05085943342313535,1.6037626290181968,0.5241301587435009,D100,1,20,0.005,0.0223511712873415,5.6324951644100585
4653,0.10584693627483907,0.14014284202803007,0.7552789335731365,-0.4870749655973917,0.3365570599613153,0.0424017740581641,1.3356674197981169,0.5242038306411737,D100,1,20,0.008,0.0223511712873415,5.6324951644100585
4653,0.100214441110429,0.14027233383408033,0.714427701965568,-0.4901779514114568,0.3359123146357189,0.03676333448151659,1.157001108882616,0.5242529452396224,D100,1,20,0.01,0.0223511712873415,5.6324951644100585
4672,0.2894527917884434,0.1225551206649842,2.3618171988071355,-0.17532954064076267,0.3801369863013699,0.24133863297086725,10.900896195001083,0.40030268338920233,D100,3,1,0.0,0.2786815068493151,70.22773972602741
4672,0.18411118219940226,0.12324175764654514,1.4939026001838551,-0.21436543656361529,0.3722174657534247,0.1358411138323853,5.7786006468530715,0.40159982777540704,D100,3,1,0.003,0.2786815068493151,70.22773972602741
