industry_code,industry_name,weight,freq,src,dst,n,beta,t_beta,p_beta,gamma_dst_ar1,t_gamma,delta_mkt,t_delta,alpha,r2,r2_adj
5400,雲端運算,EW,W,上游,下游,875,0.022783063715541316,0.26983775824885337,0.7872850730247675,0.098346329377949,0.942638667811681,-0.08831661526635606,-0.8553879655389129,0.002609805995559717,0.0034007116527966508,-3.189209581599961e-05
5400,雲端運算,EW,M,上游,下游,207,0.1462888731267232,0.5307350993392089,0.5956023596814649,-0.05584716797737997,-0.23496422495584685,-0.03265646963856335,-0.11748557735845608,0.013072239430407475,0.006537620615787221,-0.008144089424373613
5400,雲端運算,EW,D,下游,上游,4245,-0.057752090681775614,-1.0664445690298028,0.2862227234755683,0.1526646526204571,2.9701347252187236,0.018832457489545564,0.33325541110305057,0.0005929691306979676,0.014034011857443351,0.01333655890662333
5400,雲端運算,EW,W,下游,上游,875,0.01821213643792439,0.16172503192963922,0.8715223914017911,0.06214457309761108,0.6227159832277083,-0.08132050417794083,-0.6932351059807703,0.0028086466306195216,0.0009513879586456886,-0.002489652036904433
5400,雲端運算,EW,M,下游,上游,207,-0.08437315219957217,-0.31124641634660055,0.7556132990074269,0.2772495247341722,1.065384783729675,-0.15163958261096197,-0.5185775084557646,0.013011049609767933,0.012193756370723396,-0.0024043654563103978
5400,雲端運算,EW,D,上游,中游,4245,0.0853113778830369,1.741889252179397,0.08152782498268968,0.056240892854896585,1.4819088788171644,-0.0009992896951051791,-0.018374234809367628,0.0005636718103988792,0.0188086431855925,0.01811456771508002
5400,雲端運算,EW,W,上游,中游,875,0.087284136708264,0.9611916982580133,0.33645578977540125,0.020118179813895475,0.23806903106583036,-0.06907309281610007,-0.6833348350448352,0.002647499754975356,0.003339659533989847,-9.315449746605253e-05
5400,雲端運算,EW,M,上游,中游,207,0.2198934531825245,0.6927696422577291,0.4884541263694743,-0.05177255076226445,-0.30059539394113544,-0.10539113093560701,-0.3609447784892317,0.01296633881830939,0.009556378076174932,-0.005080719784768428
5400,雲端運算,EW,D,中游,上游,4245,-0.038022808283908964,-1.0421115225189843,0.2973599770191455,0.14702037859132497,2.956245605822117,0.005774671576268938,0.10800198041640001,0.000589756975970356,0.013984442850724754,0.013286954835764142
5400,雲端運算,EW,W,中游,上游,875,-0.040275506842432356,-0.5006984280376094,0.6165833787604229,0.09928902107943674,1.0019435870155138,-0.06173772062678059,-0.5694873249979064,0.002839217309476236,0.0012469463142354975,-0.0021930756846821886
