A,A_name,B,B_name,L_strict,L_loose,S_undir
C100,製藥,5500,資通訊安全,0,0,0
C100,製藥,5600,大數據,0,0,0
C100,製藥,5700,體驗科技,0,0,0
C100,製藥,5800,運動科技,0,0,0
C100,製藥,6000,自動化,0,0,0
C100,製藥,B000,休閒娛樂,0,0,0
C100,製藥,C200,醫療器材,2,13,26
C100,製藥,C300,食品生技,9,18,33
C100,製藥,C400,再生醫療,4,5,10
C100,製藥,D000,半導體,1,2,3
C100,製藥,F000,電腦週邊,0,1,1
C100,製藥,G000,平面顯示器,0,1,1
C100,製藥,H000,觸控面板,0,0,1
C100,製藥,I000,通信網路,0,0,0
C100,製藥,J000,被動元件,0,0,0
C100,製藥,K000,連接器,0,1,1
C100,製藥,L000,印刷電路板,0,1,2
C100,製藥,M000,食品,0,1,1
C100,製藥,N000,石化及塑橡膠,0,1,5
C100,製藥,O000,紡織,0,0,1
C100,製藥,P000,電機機械,0,0,0
C100,製藥,Q000,鋼鐵,0,0,0
C100,製藥,R000,軟體服務,0,0,0
C100,製藥,R300,電子商務,0,0,0
C100,製藥,S000,建材營造,0,0,0
C100,製藥,T000,交通運輸及航運,0,0,0
C100,製藥,U000,金融,0,0,0
C100,製藥,V000,貿易百貨,0,0,0
C100,製藥,W000,油電燃氣,0,0,0
C100,製藥,X000,其他,0,0,2
C100,製藥,Y000,文化創意,0,0,0
C200,醫療器材,1000,水泥,0,0,0
C200,醫療器材,2000,造紙,0,0,0
C200,醫療器材,3000,汽車,1,2,7
C200,醫療器材,4100,太空衛星科技,2,3,3
C200,醫療器材,5100,區塊鏈,0,0,0
C200,醫療器材,5200,金融科技,0,0,1
C200,醫療器材,5300,人工智慧,0,0,7
C200,醫療器材,5400,雲端運算,3,4,7
C200,醫療器材,5500,資通訊安全,0,0,3
C200,醫療器材,5600,大數據,0,0,4
C200,醫療器材,5700,體驗科技,0,0,4
C200,醫療器材,5800,運動科技,0,4,6
C200,醫療器材,6000,自動化,0,0,0
C200,醫療器材,B000,休閒娛樂,0,0,4
C200,醫療器材,C100,製藥,5,11,26
C200,醫療器材,C300,食品生技,3,8,18
C200,醫療器材,C400,再生醫療,2,5,8
