date,n_eligible,n_selected,mean_t,max_t,selected_ids
2017-02-24,33,6,0.9335534813192883,2.956541854674206,3030;3535;5234;5536;6207;8091
2017-03-31,34,5,0.7696993699009775,2.9013907631958555,3535;5234;5536;6207;8091
2017-04-28,34,6,0.7523892733532896,2.71787526083318,3030;3535;5234;5536;6207;8091
2017-05-31,34,4,0.5544588019452587,2.364611587533907,3535;5234;6207;8091
2017-06-30,34,3,0.5394185237778969,2.469757783029841,3535;6207;8091
2017-07-31,34,5,0.421055786552917,2.181234778934733,2360;3535;5234;6207;8091
2017-08-31,34,2,0.3988505611419364,2.280474393570099,2360;8091
2017-09-30,34,2,0.25171483368476655,2.345770473183934,2360;8091
2017-10-31,34,2,0.23204446988492233,2.374222619810866,2360;8091
2017-11-30,34,1,0.13004049099349466,2.496860489733769,8091
2017-12-29,34,2,0.1430062198360917,2.6254622003965835,2360;8091
2018-01-31,34,2,0.1069402867216499,2.749683464164837,2360;8091
2018-02-27,34,2,0.22383091504443686,3.094548104448743,2360;8091
2018-03-31,34,2,0.2238530717941057,2.918637212015246,2360;8091
2018-04-30,34,2,0.31347968001303633,2.7984184992010457,2360;8091
2018-05-31,34,2,0.40180604488796284,2.9804782927387103,2360;8091
2018-06-29,34,2,0.3126666734162379,2.697015603692954,2360;8091
2018-07-31,34,1,0.22772307605264883,2.6773711306502035,8091
2018-08-31,34,2,0.27237458630577643,2.768492803739514,2360;8091
2018-09-28,35,2,0.10279800811416756,2.6469847853527475,2360;8091
2018-10-31,36,4,0.5321356304468795,3.0604664725768784,2360;3030;6277;8091
2018-11-30,36,4,0.5608280238097506,3.114967673822945,2360;3030;6277;8091
2018-12-28,36,3,0.5650649772928166,3.3345864429760894,2360;3030;8091
2019-01-30,36,3,0.5721528265862356,3.529548041879505,2360;3030;8091
2019-02-27,36,4,0.5807102987895703,3.682896739434211,2360;3030;6277;8091
2019-03-29,36,3,0.5275237664990201,3.5224252160850713,2360;3030;8091
2019-04-30,36,3,0.604898587742251,3.6291578791733956,2360;3030;8091
2019-05-31,36,4,0.5274709525136295,3.4324965074936538,2360;3030;6277;8091
2019-06-28,36,3,0.3883662278316496,3.432296075368219,2360;3030;8091
2019-07-31,37,3,0.4911352911373586,3.4469058848761605,2360;3030;8091
2019-08-30,37,3,0.4937378174563877,3.571826204743967,2360;3030;8091
2019-09-27,37,4,0.6509418900030415,3.7269816112047645,2360;3030;6277;8091
2019-10-31,37,4,0.6481289562707403,3.732037635726269,2360;3030;6277;8091
2019-11-29,37,4,0.5018516776776639,3.7382741879016748,2360;3030;6277;8091
2019-12-31,38,4,0.47867843863112103,3.78239383562489,2360;3030;6277;8091
2020-01-31,38,3,0.566914893352301,4.011776122592535,2360;3030;8091
2020-02-27,38,3,0.6636176411026071,4.067353320543225,2360;3030;8091
2020-03-31,38,8,1.1185873301245188,4.4474243032056,1711;2360;3030;3305;6207;6277;6532;8091
2020-04-30,38,9,1.197451505763346,4.569753822974324,1711;2360;3030;3305;3413;6207;6277;6532;8091
2020-05-29,38,9,1.2026319805138834,4.39553125525729,1711;1717;2360;3030;3305;5434;6207;6277;8091
2020-06-30,38,7,1.0806337931707555,4.002840646787841,1711;2360;3030;3305;5434;6277;8091
2020-07-31,39,7,0.9566973785009321,3.3082124215433715,2360;3030;3305;5434;6207;6277;8091
2020-08-31,39,10,1.0819900716839659,3.4939290097889413,1717;2360;3030;3305;3413;5434;6207;6277;6510;8091
2020-09-30,39,5,0.9283134706917665,3.3430999400369634,2360;3030;3413;5434;8091
2020-10-30,39,4,1.0128426053523738,3.4360676149438536,2360;3030;5434;8091
2020-11-30,39,5,0.9453662387425005,3.3870708427259006,2360;3030;3413;5434;8091
2020-12-31,39,6,0.965213032574919,3.5849267535652576,2360;3030;3305;3413;5434;8091
2021-01-29,39,4,0.8706594278179298,3.5726434120986426,2360;3413;5434;8091
2021-02-26,39,6,0.9356652184470917,3.3621481697302724,1717;2360;3305;3413;5434;8091
2021-03-31,39,6,0.9591424694130336,3.246786944420974,1717;2360;3305;3413;5434;8091
2021-04-29,40,7,1.1029391598668261,3.2939031033228976,1717;2360;3305;3413;5434;6510;8091
2021-05-31,41,12,1.3912488469289366,3.146365853615639,1717;2360;3030;3114;3305;3413;5434;6207;6208;6277;6510;8091
2021-06-30,41,12,1.3898099061021436,3.221660155223704,1717;2360;3030;3114;3305;3413;5434;6207;6208;6277;6510;8091
2021-07-30,41,11,1.316728610345829,2.9905021905319735,1717;2360;3305;3413;5434;6207;6208;6277;6510;8091;8374
2021-08-31,41,9,1.2667976396939824,2.8877911209218965,1717;2360;3413;5434;6208;6277;6510;8091;8374
2021-09-30,41,9,1.252301277859954,3.059211561350716,1717;2360;3413;5434;6208;6277;6510;8091;8374
2021-10-29,41,8,1.2026352983505906,3.062780147241569,1717;2360;3413;5434;6208;6510;8091;8374
2021-11-30,41,7,1.1248567895307375,3.3002621146264715,2360;3413;5434;6208;6510;8091;8374
2021-12-30,42,6,1.0152786580579982,3.1948041541374805,2360;3413;5434;6208;6510;8091
2022-01-26,42,6,1.0321714269764206,3.0059191635603986,2360;3413;5434;6208;6510;8091
2022-02-25,42,6,0.947497072417436,3.0537009079777055,2360;3413;5434;6208;6510;8091
2022-03-31,44,6,0.9728011686275512,3.1534001439975885,2360;3413;5434;6208;6510;8091
2022-04-29,44,11,1.2494400757107533,3.675444974911096,1717;2360;3010;3305;3413;5434;6207;6208;6510;8091;8374
2022-05-31,44,10,1.2815517841751143,3.7965003493551253,2360;3010;3305;3413;5434;6208;6510;6664;8091;8374
2022-06-30,44,12,1.4337124960369445,3.929941085862795,1717;2360;3010;3305;3413;5434;6207;6208;6510;6664;8091;8374
2022-07-29,44,16,1.5947116980329918,4.10795828089012,1717;2360;2493;3010;3030;3305;3402;3413;5434;5493;6207;6208;6510;6664;8091;8374
2022-08-31,45,17,1.668077433765678,4.164515310989075,1717;2360;2493;3010;3030;3305;3402;3413;4722;5434;5493;6207;6208;6510;6664;8091;8374
2022-09-30,45,19,1.7279709279558018,4.294008152791867,1717;2360;2493;3010;3030;3305;3402;3413;3535;4722;5434;5493;5536;6207;6208;6510;6664;8091;8374
2022-10-31,45,23,1.9243725832697796,4.434025903131396,1717;2360;2493;3010;3030;3305;3402;3413;3455;3535;4722;4755;5234;5434;5493;5536;6207;6208;6277;6510;6664;8091;8374
2022-11-30,45,23,1.8520414918412995,4.227056677326628,1717;2360;2493;3010;3030;3305;3402;3413;3455;3535;4722;5234;5434;5493;5536;6207;6208;6277;6438;6510;6664;8091;8374
2022-12-30,45,22,1.8159603893300964,4.137768718756463,1717;2360;2493;3010;3030;3114;3305;3402;3413;3535;4722;5234;5434;5493;5536;6207;6208;6277;6438;6510;6664;8091
2023-01-31,45,23,1.8126671852114884,4.211822615911586,1717;2360;2493;3010;3030;3114;3305;3402;3413;3455;3535;4722;5234;5434;5493;5536;6207;6208;6277;6438;6510;6664;8091
2023-02-24,45,18,1.7214990203316722,3.966604198517525,1717;2493;3010;3030;3305;3402;3413;3535;4722;5234;5434;5536;6207;6208;6277;6510;6664;8091
2023-03-31,45,18,1.621579824034493,3.7308370201737477,1717;2493;3010;3030;3305;3402;3413;3535;4722;5234;5434;5493;5536;6207;6208;6510;6664;8091
2023-04-28,46,19,1.6765654810426984,3.762554398645657,1717;2493;3010;3030;3114;3305;3402;3413;3535;4722;5234;5434;5493;5536;6207;6208;6510;6664;8091
2023-05-31,46,19,1.6832979961879602,3.7666659275438152,1717;2493;3010;3030;3114;3305;3402;3413;3535;4722;5234;5434;5536;6207;6208;6510;6664;8091;8374
2023-06-30,46,17,1.6411930401058725,3.766798330475204,2360;2493;3010;3114;3305;3402;3413;3535;4722;5234;5434;5536;6207;6208;6510;6664;8091
2023-07-31,46,17,1.6473420880683,3.725599472309611,2360;2493;3010;3030;3305;3402;3413;3535;4722;5234;5434;5536;6207;6208;6510;6664;8091
2023-08-31,46,19,1.6973404369414482,3.7609506878277177,2360;2493;3010;3030;3114;3305;3402;3413;3535;4722;5234;5434;5536;6207;6208;6438;6510;6664;8091
2023-09-28,46,22,1.7430009948782001,3.8752218224275685,1717;2360;2493;3010;3030;3114;3305;3402;3413;3535;4722;5234;5434;5536;6207;6208;6438;6510;6664;6706;8091;8374
2023-10-31,46,17,1.6321259071535785,3.9652688566875773,1717;2493;3010;3114;3305;3413;3535;4722;5434;5536;6207;6208;6438;6510;6664;8091;8374
2023-11-30,46,15,1.5381448062240544,3.7671059204299167,2360;2493;3010;3114;3305;3413;3535;5434;5536;6207;6208;6438;6510;6664;8091
2023-12-29,46,14,1.5162431831549745,3.8224297662355315,2493;3010;3114;3305;3413;3535;5434;5536;6207;6208;6438;6510;6664;8091
2024-01-31,46,11,1.4029418884048739,3.695209118785223,2493;3010;3305;3413;3535;5434;5536;6208;6438;6510;6664
2024-02-29,46,9,1.3026836514966234,3.758981175720525,2493;3010;3305;3413;3535;5434;6208;6510;6664
2024-03-29,46,11,1.401754013953665,3.4372707008236865,2493;3010;3305;3413;3535;5434;5536;6208;6438;6510;6664
2024-04-30,47,15,1.6070874408482616,3.8485136464807312,2467;2493;3010;3305;3413;3535;5234;5434;6207;6208;6438;6510;6664;6706;7556
2024-05-31,48,17,1.615857830515458,3.6906957203580317,2467;2493;3010;3305;3402;3413;3535;5234;5434;5536;6207;6208;6438;6510;6664;7556;8374
2024-06-28,48,19,1.613956181682772,3.761559666694905,2467;2493;3010;3305;3402;3413;3535;5234;5434;5536;6207;6208;6438;6510;6515;6664;7556;8091;8374
2024-07-31,48,19,1.7187220915331238,3.752606391741224,2467;2493;3010;3305;3402;3413;3535;5234;5434;5536;6207;6208;6438;6510;6515;6664;7556;8091;8374
2024-08-30,48,18,1.739302689312835,3.982732842728827,2467;2493;3305;3402;3413;3535;5234;5434;5536;6207;6208;6438;6510;6515;6664;6706;7556;8091
2024-09-30,48,21,1.7537791347211336,3.966984041086898,1717;2467;2493;3010;3305;3402;3413;3535;4722;5234;5434;5536;6207;6208;6438;6510;6515;6664;6706;7556;8091
2024-10-30,48,22,1.783766357140822,4.0058082419540595,1717;2360;2467;2493;3010;3305;3402;3413;3535;5234;5434;5536;6207;6208;6438;6510;6515;6664;6706;7556;8091;8383
2024-11-29,48,23,1.8567441313004422,4.011967703018423,1717;2360;2467;2493;3010;3305;3402;3413;3535;4722;5234;5434;5536;6207;6208;6438;6510;6515;6664;6706;7556;8091;8383
2024-12-31,48,22,1.8324617531850513,3.965831456135224,1717;2467;2493;3010;3305;3402;3413;3535;4722;5234;5434;5536;6207;6208;6438;6510;6515;6664;6706;7556;8091;8383
2025-01-22,49,23,1.8914242588223518,4.117197309474173,1717;2360;2467;2493;3010;3305;3402;3413;3535;4722;5234;5434;5536;6207;6208;6438;6510;6515;6664;6706;7556;8091;8383
2025-02-27,50,25,2.0034532154404125,4.240249893669402,1717;2360;2467;2493;3010;3305;3402;3413;3455;3535;4755;5222;5234;5434;5536;6207;6208;6438;6510;6515;6664;6706;7556;8091;8383
2025-03-31,50,24,1.891538450725534,4.047999049473286,1717;2360;2467;2493;3010;3305;3402;3413;3535;4755;5222;5234;5434;5536;6207;6208;6438;6510;6515;6664;6706;7556;8091;8383
2025-04-30,50,18,1.5262934599027784,3.489774076714735,1717;2493;3010;3305;3402;3413;3535;5222;5434;6207;6208;6438;6510;6515;6664;6706;7556;8091
2025-05-29,50,12,1.3237258734039363,3.395699869299277,1717;2493;3305;3413;3535;5222;5434;6208;6438;6510;6706;7556
2025-06-30,51,11,1.328103486718325,3.3759876038236647,2493;3305;3535;5222;5434;6207;6208;6438;6510;6706;7556
2025-07-31,52,13,1.3534294612102502,3.7862617739201823,1785;2493;3010;3305;3402;3535;5222;5434;6207;6208;6438;6706;7556
2025-08-29,52,16,1.390683040928623,3.706919768555465,1717;1785;2493;3010;3305;3402;3535;5222;5434;6207;6208;6438;6515;6706;7556;8091
2025-09-30,53,13,1.4213720094995392,4.001328183477949,1785;2493;3010;3402;3535;5222;5434;6207;6208;6438;6706;7556;8091
2025-10-31,54,14,1.3695391548448255,3.8089937683323827,1785;2493;3010;3402;3535;5222;5434;6207;6208;6438;6706;6789;7556;8091
2025-11-28,55,13,1.300122202881158,3.783056399120454,1785;2493;3010;3535;5222;5434;6207;6208;6438;6706;6789;7556;8091
2025-12-31,55,13,1.2864462018804974,3.799354487814819,1785;2493;3010;3535;5222;5434;6207;6208;6438;6664;6789;7556;8091
2026-01-30,55,12,1.2643455550726361,3.8246873548836695,1785;2493;3010;3535;5222;5434;6207;6208;6664;6789;7556;8091
2026-02-26,55,11,1.1893005329766304,3.7706493795164806,1785;2493;3010;3535;5222;5434;6207;6208;6789;7556;8091
2026-03-31,55,13,1.2964425115725209,3.7145539446365192,1785;2493;3010;3402;3535;5222;5434;6207;6208;6664;6789;7556;8091
2026-04-30,55,13,1.2177549813274744,3.5748451570870112,1785;2493;3010;3402;3535;5222;6207;6208;6735;6789;7556;8091;8383
