n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta,predictor,smooth_N,hold_K,cost_rt,avg_daily_turn
4672,0.014515694890534874,0.12346633794821346,0.11756803620937813,-0.5511789602832775,-0.031198058486109924,-1.1378839948944495,0.3803316652348571,D100+0.5·2330,3,1,0.008,0.2985873287671233
4668,0.13844862698058963,0.1271222053814345,1.089098687087514,-0.3914544091639306,0.08646853046275724,3.405542664772151,0.4255264099053076,D100+0.5·2330,3,5,0.0,0.09490145672664953
4668,0.07866070924280043,0.12736582382692296,0.617596674518372,-0.4602782322855834,0.02666234121028171,1.0056967519880495,0.4256759866196441,D100+0.5·2330,3,5,0.005,0.09490145672664953
4668,0.042787958600126894,0.12802012807133287,0.33422836896621,-0.49785014516911164,-0.009221372341203685,-0.3382652264542554,0.4257657326482459,D100+0.5·2330,3,5,0.008,0.09490145672664953
4663,0.1351833653486724,0.12912803995408761,1.0468939619678095,-0.39939678150004443,0.08204359896380187,2.766960182092303,0.43564919704863175,D100+0.5·2330,3,10,0.0,0.042461934377010506
4663,0.10843234669115577,0.12924484005420914,0.8389684775475448,-0.4258504689657867,0.05526508641082316,1.8247446883064755,0.43587459686305774,D100+0.5·2330,3,10,0.005,0.042461934377010506
4663,0.09238173549664577,0.1295524022897592,0.7130839248354744,-0.441190362933226,0.03919797887903595,1.2771076426787809,0.4360098367517133,D100+0.5·2330,3,10,0.008,0.042461934377010506
4653,0.15577026113448705,0.12885750889546546,1.2088566857275997,-0.38034451894069665,0.10299919080729839,3.5377514958712593,0.43601113538136105,D100+0.5·2330,3,20,0.0,0.02407049215559854
4653,0.14060585107645995,0.12890593389091773,1.0907632164974104,-0.3956948952404784,0.08782674050899017,2.9905392924041085,0.43607756636849065,D100+0.5·2330,3,20,0.005,0.02407049215559854
4653,0.1315072050416437,0.12907267445945836,1.0188617040158259,-0.40619830318736827,0.07872327033000528,2.6652961822500774,0.4361174249607685,D100+0.5·2330,3,20,0.008,0.02407049215559854
4672,0.3019227811057492,0.11842113733241498,2.549568327977078,-0.14629542601025747,0.2575603932212737,10.865555196232483,0.36908850426001893,D100+0.5·2330,5,1,0.0,0.2363013698630137
4672,0.1530529180920506,0.11947785682849515,1.2810149274082718,-0.2273229207534917,0.10861039848802774,4.25769812299425,0.36975518831202525,D100+0.5·2330,5,1,0.005,0.2363013698630137
4672,0.0637310002838314,0.12123824601309471,0.525667455440983,-0.3270867110728478,0.019240401648080205,0.7182392124027296,0.370155198743229,D100+0.5·2330,5,1,0.008,0.2363013698630137
4668,0.14740590351716465,0.12760554083686526,1.1551685181571605,-0.37077813316648045,0.09513191739282251,3.69693354137523,0.4279322882615294,D100+0.5·2330,5,5,0.0,0.08718937446443874
4668,0.09247659760456825,0.12782538406446933,0.7234603539929695,-0.43776291018710234,0.04022941727589019,1.5121088435916763,0.427712847076197,D100+0.5·2330,5,5,0.005,0.08718937446443874
4668,0.059519014057010405,0.1284265688278471,0.46344782547912106,-0.47455157584634955,0.007287917205730748,0.26802273737279275,0.42758118236499754,D100+0.5·2330,5,5,0.008,0.08718937446443874
4663,0.14150501398788085,0.13215604488587795,1.0707418953864434,-0.3491133465992664,0.08572942594870062,3.0069725976172665,0.45725812884081846,D100+0.5·2330,5,10,0.0,0.04331975123311173
4663,0.11421357071102044,0.13228974625653864,0.8633592091826637,-0.37644108050094305,0.05844293958275044,1.9978923623365499,0.45721749120906396,D100+0.5·2330,5,10,0.005,0.04331975123311173
4663,0.0978387047449042,0.13260643463976327,0.7378126484637901,-0.39314823897105866,0.042071047763180325,1.415192717596368,0.45719310863001117,D100+0.5·2330,5,10,0.008,0.04331975123311173
4653,0.1681594314640592,0.12724236096222946,1.3215679919203605,-0.3501841011116744,0.11665411972600008,4.034343400917182,0.4255530408961947,D100+0.5·2330,5,20,0.0,0.0223511712873415
4653,0.1540781935530341,0.12729507882594548,1.2104018079419236,-0.3605560867217851,0.10259460181317291,3.530666267816089,0.42537358345832105,D100+0.5·2330,5,20,0.005,0.0223511712873415
4653,0.14562945080641898,0.12745640435607916,1.1425824503849114,-0.36821021744187865,0.09415889106547662,3.2291203786473806,0.4252659089955971,D100+0.5·2330,5,20,0.008,0.0223511712873415
4672,0.29492380716508054,0.11921923364519807,2.4737938514416844,-0.13332806972082156,0.2502381179870736,10.069451121589259,0.37177832319324666,D100+0.5·2330,10,1,0.0,0.15496575342465754
4672,0.1972953825075463,0.11974726932061976,1.6475981759491636,-0.19103444542083314,0.15256777956875212,5.7219911670770465,0.37212703948230524,D100+0.5·2330,10,1,0.005,0.15496575342465754
4672,0.13871832771302572,0.12088490009660005,1.1475240299009624,-0.2405374882040604,0.09396557651775926,3.3639470210859903,0.37233626925574054,D100+0.5·2330,10,1,0.008,0.15496575342465754
4668,0.16798534934898118,0.12774268026793897,1.3150291585915814,-0.2797285633615547,0.11591784461328623,4.485074898239998,0.4262419627348507,D100+0.5·2330,10,5,0.0,0.06812339331619537
4668,0.12506761155977808,0.12795796564366843,0.9774116908677709,-0.3250954112691333,0.07304653695660229,2.7315538180477352,0.42586187018162763,D100+0.5·2330,10,5,0.005,0.06812339331619537
4668,0.09931696888625624,0.1284611863186472,0.7731282244264902,-0.35098297298192915,0.047323752362591835,1.7313869494754783,0.4256338146496938,D100+0.5·2330,10,5,0.008,0.06812339331619537
4663,0.167370822294429,0.13342181092388006,1.2544487376949007,-0.3340309006314993,0.11069913008242795,3.9393853738580296,0.4646045492321669,D100+0.5·2330,10,10,0.0,0.03774394166845379
4663,0.14359213904330312,0.1336579995652529,1.0743250647949458,-0.35210911381156385,0.08682770140770284,3.007899896304938,0.4653648926071887,D100+0.5·2330,10,10,0.005,0.03774394166845379
4663,0.12932492909262758,0.13400461258635113,0.9650781909413155,-0.3694687067692485,0.07250484420286779,2.4703102027420223,0.4658210986322019,D100+0.5·2330,10,10,0.008,0.03774394166845379
4653,0.16211727860277073,0.13837216124310248,1.1716032845505033,-0.3506031544202435,0.10145086917301843,3.306256429333011,0.5012449035233727,D100+0.5·2330,10,20,0.0,0.02149151085321298
4653,0.14857762676524658,0.13837423961406317,1.0737376203810876,-0.3729279947661509,0.08793408869474847,2.830977744505755,0.5010559331793129,D100+0.5·2330,10,20,0.005,0.02149151085321298
4653,0.14045383566273204,0.13849035680180724,1.0141777298164862,-0.3859786119918499,0.07982402040778645,2.5502145224763537,0.5009425509728769,D100+0.5·2330,10,20,0.008,0.02149151085321298
4672,0.25699756288853964,0.12339643213997713,2.082698489993694,-0.14159856766872292,0.2093575434187671,7.826354415057777,0.39635791415929966,D100+0.5·2330,20,1,0.0,0.1035958904109589
4672,0.1917321519296355,0.12359421703618885,1.5513035846450294,-0.2194071942326309,0.14425811304216257,5.105479951275301,0.3949769802696121,D100+0.5·2330,20,1,0.005,0.1035958904109589
4672,0.15257290535429305,0.1242790456791603,1.227663959925927,-0.26274896956521654,0.1051984548161998,3.5862588134167432,0.39414841993579985,D100+0.5·2330,20,1,0.008,0.1035958904109589
4668,0.18072692594785547,0.12705507524235615,1.4224298053668525,-0.2593026085773754,0.12920698519858662,4.551272137567639,0.42175942128252,D100+0.5·2330,20,5,0.0,0.04755784061696658
4668,0.1507654863591665,0.127255143509949,1.1847496470535939,-0.284835406550332,0.099320448845924,3.3662216616403033,0.4211462384057698,D100+0.5·2330,20,5,0.005,0.04755784061696658
4668,0.13278862260595314,0.12764365068145686,1.0403073078608187,-0.3089876983612937,0.08138852703432645,2.693655507166578,0.4207783286797196,D100+0.5·2330,20,5,0.008,0.04755784061696658
4663,0.1773528048443116,0.1325836150798349,1.337667589901807,-0.28615539690910774,0.12117525876453107,4.33400995695943,0.46055345190201685,D100+0.5·2330,20,10,0.0,0.03131031524769462
4663,0.15762730623826401,0.13284317599871068,1.186566830047739,-0.2968433887921431,0.10133720567547212,3.526378609512017,0.46147619344726537,D100+0.5·2330,20,10,0.005,0.03131031524769462
4663,0.14579200707463544,0.13317099844977326,1.0947729518572493,-0.30319192808156736,0.0894343738220368,3.0599348617043356,0.46202983837441436,D100+0.5·2330,20,10,0.008,0.03131031524769462
4653,0.1709957587860223,0.1359535878660896,1.2577509830373013,-0.30588351737355113,0.11192550174204659,3.7087074868572536,0.48805699185796236,D100+0.5·2330,20,20,0.0,0.017623038899634645
4653,0.15989324427925244,0.135936521398983,1.176234632413131,-0.3263849816012233,0.10084858749433999,3.2952594756165894,0.48784547448772486,D100+0.5·2330,20,20,0.005,0.017623038899634645
