src_code,src_name,dst_code,dst_name,n,beta,t,p
P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),P100,鋼鑄鐵元件,4673,-0.046758657508507565,-1.3394575387580814,0.18042176866779847
P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),P200,傳動元件,4673,-0.04482572159199933,-1.3411676511756365,0.17986602664050722
P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),P300,五金元件及零配件,4673,-0.007910556140990477,-0.24081430558978723,0.8096990416036269
P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),P400,電控元件,4673,-0.03553181260770778,-1.1824809860689043,0.2370149056457912
P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),P500,油空壓元件,4664,0.011320057934897472,0.27173917090229754,0.785822580157234
P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),P600,機械設備之沖壓零組件,4673,-0.020752815897538874,-0.7282580847274276,0.46645561542603087
P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),P700,金屬加工用機械,4673,-0.003080729080824403,-0.11321134880126249,0.9098629984721531
P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),P900,手工具機,4673,-0.03156926039510623,-1.1050552193660863,0.2691356628026498
P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),PA00,輸送機械及零配件,4673,-0.03281360480662323,-1.1695595662564264,0.2421782569791031
P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),PB00,車用機械傳動設備及零配件,4673,-0.0210069990922227,-0.8635577873330353,0.3878308616686674
P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),PD00,冷凍空調設備及零件,4673,-0.01969933174457915,-0.7264999211895152,0.46753235579421415
P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),PE00,機電系統工程,4673,-0.03396808511564591,-1.186913341243827,0.23526180436871003
P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),PF00,金屬加工處理,4673,-0.029333898583914605,-0.9904373502151838,0.32196039695503764
P900,手工具機,P100,鋼鑄鐵元件,4673,0.024793369012075392,0.6955398774477862,0.48671702943895057
P900,手工具機,P200,傳動元件,4673,0.03208910691457755,0.8808398416621914,0.37840451199248704
P900,手工具機,P300,五金元件及零配件,4673,0.07348362731377224,1.9125588059267407,0.055804557557567025
P900,手工具機,P400,電控元件,4673,0.014486516288941601,0.4481357792422968,0.6540552074745204
P900,手工具機,P500,油空壓元件,4664,-0.01743293890558221,-0.355487000026556,0.7222247822635492
P900,手工具機,P600,機械設備之沖壓零組件,4673,0.00482780599608558,0.15670427157668054,0.8754779204450268
P900,手工具機,P700,金屬加工用機械,4673,0.04729948221289977,1.5488100237642972,0.12142739522027343
P900,手工具機,P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),4673,0.020393578300820676,0.601949800161169,0.5472075533537255
P900,手工具機,PA00,輸送機械及零配件,4673,-0.005284080356318351,-0.16889833688607953,0.8658766073778543
P900,手工具機,PB00,車用機械傳動設備及零配件,4673,0.03910825008526669,1.4025037656208976,0.16076486681789315
P900,手工具機,PD00,冷凍空調設備及零件,4673,0.034580077077607026,1.161868284102242,0.24528897182558107
P900,手工具機,PE00,機電系統工程,4673,0.023952640750095962,0.7423227649684848,0.45789180217561487
P900,手工具機,PF00,金屬加工處理,4673,0.05321841876323643,1.5945653197111054,0.11080947300760328
PA00,輸送機械及零配件,P100,鋼鑄鐵元件,4673,0.036699184003451686,1.0355587718885833,0.30040803439744
PA00,輸送機械及零配件,P200,傳動元件,4673,0.027034312292037316,0.7383615281165187,0.46029478646252187
PA00,輸送機械及零配件,P300,五金元件及零配件,4673,0.04818247788281387,1.28988471956813,0.19709068695973342
PA00,輸送機械及零配件,P400,電控元件,4673,0.01070021478650812,0.33133141473084143,0.7403941646169984
PA00,輸送機械及零配件,P500,油空壓元件,4664,0.08133814551422762,1.5470304375775026,0.12185590623723754
PA00,輸送機械及零配件,P600,機械設備之沖壓零組件,4673,0.0129218045112413,0.4238422198560014,0.6716808851330698
PA00,輸送機械及零配件,P700,金屬加工用機械,4673,0.03995751078702442,1.3406984367273784,0.18001838233008738
PA00,輸送機械及零配件,P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),4673,0.03325353623593527,1.0285241334805664,0.30370334455016124
PA00,輸送機械及零配件,P900,手工具機,4673,0.04806138045804687,1.5026361430050617,0.13293289781604495
PA00,輸送機械及零配件,PB00,車用機械傳動設備及零配件,4673,-0.00400548902249659,-0.1497078393388265,0.8809951229913704
PA00,輸送機械及零配件,PD00,冷凍空調設備及零件,4673,0.02286110099449663,0.7516817852503984,0.4522424467819879
PA00,輸送機械及零配件,PE00,機電系統工程,4673,0.03157066189473866,0.8772112915108462,0.38037188412711453
PA00,輸送機械及零配件,PF00,金屬加工處理,4673,0.020222976922099622,0.6212461888306953,0.5344376532736073
PB00,車用機械傳動設備及零配件,P100,鋼鑄鐵元件,4673,-0.004682354431484083,-0.09283554062761419,0.926034215582386
PB00,車用機械傳動設備及零配件,P200,傳動元件,4673,0.03748440332120711,0.7606737048663498,0.44685198439495877
PB00,車用機械傳動設備及零配件,P300,五金元件及零配件,4673,0.05445197081502057,1.055340274593541,0.2912697277102164
PB00,車用機械傳動設備及零配件,P400,電控元件,4673,0.012335139478938183,0.30396189732642526,0.7611569200279447
PB00,車用機械傳動設備及零配件,P500,油空壓元件,4664,0.015192064452897683,0.23433291738160988,0.814726532854648
PB00,車用機械傳動設備及零配件,P600,機械設備之沖壓零組件,4673,-0.0012184910463607817,-0.029276549501125834,0.9766440296711316
PB00,車用機械傳動設備及零配件,P700,金屬加工用機械,4673,0.035015860556448425,0.9355007293565545,0.3495303076339509
PB00,車用機械傳動設備及零配件,P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),4673,0.0274871030920956,0.6916155172424036,0.48917881429025567
PB00,車用機械傳動設備及零配件,P900,手工具機,4673,0.028283006090286885,0.695502746791343,0.4867402904042618
PB00,車用機械傳動設備及零配件,PA00,輸送機械及零配件,4673,0.014630404246933305,0.379539613497361,0.704287193508175
PB00,車用機械傳動設備及零配件,PD00,冷凍空調設備及零件,4673,0.028798408204113498,0.7561489121682337,0.44955991896233793
PB00,車用機械傳動設備及零配件,PE00,機電系統工程,4673,0.01037886345322639,0.2684728314833645,0.7883353848164154
PB00,車用機械傳動設備及零配件,PF00,金屬加工處理,4673,0.041850853042578524,1.0337095972301447,0.3012719450891791
PD00,冷凍空調設備及零件,P100,鋼鑄鐵元件,4673,0.030726859454645688,0.7782112157709522,0.4364445058704832
PD00,冷凍空調設備及零件,P200,傳動元件,4673,-0.005633630330405444,-0.16581194253337936,0.8683049474440435
PD00,冷凍空調設備及零件,P300,五金元件及零配件,4673,0.010224331303047979,0.2828143367931375,0.7773191636475527
PD00,冷凍空調設備及零件,P400,電控元件,4673,0.004151163408674544,0.13016532264737576,0.8964356296389477
PD00,冷凍空調設備及零件,P500,油空壓元件,4664,0.0036948827282988848,0.07590778228063325,0.939492465361121
PD00,冷凍空調設備及零件,P600,機械設備之沖壓零組件,4673,-0.0053931920590787,-0.16209533288101097,0.871230781415725
PD00,冷凍空調設備及零件,P700,金屬加工用機械,4673,0.01692542593847846,0.5629088094420983,0.5734969811576152
PD00,冷凍空調設備及零件,P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),4673,0.054097054693653134,1.6374638999607551,0.10153357597699153
PD00,冷凍空調設備及零件,P900,手工具機,4673,0.015048218160201795,0.46436432703293007,0.6423867436473536
PD00,冷凍空調設備及零件,PA00,輸送機械及零配件,4673,-0.008525731487005115,-0.2639681900083313,0.7918044303221307
PD00,冷凍空調設備及零件,PB00,車用機械傳動設備及零配件,4673,0.006758708611334442,0.2545134727045855,0.7990988969988126
PD00,冷凍空調設備及零件,PE00,機電系統工程,4673,-0.010595471767728116,-0.2895373537178978,0.7721701992220809
PD00,冷凍空調設備及零件,PF00,金屬加工處理,4673,0.011291383872269176,0.3393231589128399,0.7343662981864046
PE00,機電系統工程,P100,鋼鑄鐵元件,4673,0.045547499018875726,0.9468492327604597,0.34371561028130293
PE00,機電系統工程,P200,傳動元件,4673,0.0403905006278281,0.8673419845342815,0.3857546591572737
PE00,機電系統工程,P300,五金元件及零配件,4673,0.0470865594886069,1.020378104609624,0.30754917395614123
PE00,機電系統工程,P400,電控元件,4673,0.04935852741876963,1.1437473404603662,0.2527284343037768
PE00,機電系統工程,P500,油空壓元件,4664,0.03423952601983464,0.6037046682030573,0.5460400099426334
PE00,機電系統工程,P600,機械設備之沖壓零組件,4673,0.02430324174240871,0.6340785788252792,0.5260295417444656
PE00,機電系統工程,P700,金屬加工用機械,4673,0.022855226546610263,0.5469881708240101,0.5843868589970849
PE00,機電系統工程,P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),4673,0.022871711761214462,0.5449447509210437,0.5857915167266886
PE00,機電系統工程,P900,手工具機,4673,0.04318507606005855,1.0041111475013607,0.3153250428487585
PE00,機電系統工程,PA00,輸送機械及零配件,4673,0.018213044847269672,0.3862285186266134,0.6993274344858893
PE00,機電系統工程,PB00,車用機械傳動設備及零配件,4673,0.019418536736410485,0.5544411538758396,0.5792769679776363
PE00,機電系統工程,PD00,冷凍空調設備及零件,4673,0.00442230038181145,0.10010356748164648,0.920262103120517
PE00,機電系統工程,PF00,金屬加工處理,4673,0.030383974023453525,0.6929046270162246,0.4883694057620185
PF00,金屬加工處理,P100,鋼鑄鐵元件,4673,-0.03592369881007609,-1.0271035942315938,0.30437168641346246
PF00,金屬加工處理,P200,傳動元件,4673,-0.0254209953573254,-0.8060473501313662,0.42021554761341784
PF00,金屬加工處理,P300,五金元件及零配件,4673,-0.021328741774835448,-0.6322444135259992,0.5272271797920737
PF00,金屬加工處理,P400,電控元件,4673,0.002277267978357813,0.0823732923915909,0.9343498734422445
PF00,金屬加工處理,P500,油空壓元件,4664,-0.026052088526890026,-0.6313500714968716,0.527811654222816
PF00,金屬加工處理,P600,機械設備之沖壓零組件,4673,-0.0368991179277473,-1.3969616079604084,0.16242511645044488
PF00,金屬加工處理,P700,金屬加工用機械,4673,-0.008167237203516947,-0.3173086203623527,0.7510094369866277
PF00,金屬加工處理,P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),4673,-0.015156171744870028,-0.5496731925407357,0.5825435469388773
PF00,金屬加工處理,P900,手工具機,4673,-0.019311901018745782,-0.6803224745593724,0.49630029697947753
PF00,金屬加工處理,PA00,輸送機械及零配件,4673,-0.008294525994247121,-0.3017063119228421,0.7628759561663239
PF00,金屬加工處理,PB00,車用機械傳動設備及零配件,4673,-0.01673381938129034,-0.656862683145518,0.5112692147150975
PF00,金屬加工處理,PD00,冷凍空調設備及零件,4673,-0.02174328889168371,-0.791035161367109,0.42892347349501236
PF00,金屬加工處理,PE00,機電系統工程,4673,-0.023935888063941143,-0.8579129644183879,0.3909405249058878
