industry_code,industry_name,position,n_days,n_stocks_med,ret_mean,ret_std,ann_ret,ann_vol
I000,通信網路,下游,4246,93.0,0.00045797331288499203,0.011931472927016384,0.11540927484701799,0.1894062608375116
J000,被動元件,上游,4246,12.0,0.0006519815297040545,0.015856531202431464,0.16429934548542174,0.2517146293066178
J000,被動元件,中游,4246,40.0,0.0005568930442880074,0.01380989794406929,0.14033704716057788,0.2192253335471371
K000,連接器,上游,4246,9.0,0.0005302916933794042,0.013014938212522044,0.13363350673160987,0.20660573903522902
K000,連接器,中游,4246,42.0,0.0005153068993618322,0.012377547152995416,0.1298573386391817,0.1964874696468085
L000,印刷電路板,上游,4246,24.0,0.0005312945311442643,0.012961379708595807,0.1338862218483546,0.20575552414334003
L000,印刷電路板,中游,4246,56.0,0.0005268761653224387,0.013070028329961252,0.13277279366125455,0.20748026753787796
M000,食品,上游,4246,16.0,0.0005559125446988923,0.010433810452538014,0.14008996126412088,0.1656316061052113
M000,食品,下游,4246,27.0,0.0004388171012983762,0.010566991613766312,0.1105819095271908,0.16774579149678454
M000,食品,中游,4246,16.0,0.0006315942426501786,0.010800957287245064,0.159161749147845,0.17145988142088764
N000,石化及塑橡膠,上游,4246,3.0,0.0003215935160212872,0.01214367151058302,0.08104156603736437,0.19277480892157647
N000,石化及塑橡膠,下游,4246,65.0,0.00047346445777135375,0.010288594650798342,0.11931304335838114,0.1633263767181711
N000,石化及塑橡膠,中游,4246,19.0,0.0004922719493976244,0.012421873159990684,0.12405253124820134,0.1971911231935404
O000,紡織,上游,4246,6.0,0.0003378300283319572,0.013620634637995746,0.08513316713965322,0.21622087170605414
O000,紡織,下游,4246,40.0,0.0004079626247763271,0.009792305189668442,0.10280658144363443,0.15544802576345926
O000,紡織,中游,4246,41.0,0.0004774491665114747,0.010944378735941533,0.12031718996089162,0.17373662633642842
P000,電機機械,上游,4246,29.0,0.0005201838976417046,0.011216741650307636,0.13108634220570956,0.1780602535630454
P000,電機機械,下游,4246,84.0,0.0005080822647855778,0.009830589679933763,0.1280367307259656,0.15605577320533673
Q000,鋼鐵,上游,4246,5.0,0.0004330646232699721,0.015002196820029094,0.10913228506403297,0.23815249143264605
Q000,鋼鐵,中游,4246,17.0,0.0003646225529519393,0.01493023978806956,0.0918848833438887,0.23701020896276254
S000,建材營造,上游,4246,31.0,0.0004910168052943855,0.01148783624465919,0.12373623493418513,0.18236374683361425
S000,建材營造,下游,4246,11.0,0.0005834128115839511,0.012505084985547345,0.1470200285191557,0.1985120699729161
