n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta,target,predictor,smooth_N,hold_K,cost_rt,avg_daily_turn,ann_turn
4663,0.12110162526197857,0.13890065458915643,0.8718578441561401,-0.43725496528929175,0.06606190064807403,2.0205838179074442,0.4512253904197087,G_md,A_G_up,5,10,0.008,0.043534205447137035,10.970619772678534
4663,0.11013100548930001,0.1391880681703885,0.7912388391976388,-0.45289043401833895,0.05506170828255042,1.666106282199224,0.4514678317626814,G_md,A_G_up,5,10,0.01,0.043534205447137035,10.970619772678534
4653,0.1361477332631372,0.14497432599255727,0.9391161664729988,-0.41449193385250926,0.07498768015842387,2.2922771123567216,0.5053235424037122,G_md,A_G_up,5,20,0.0,0.0223511712873415,5.6324951644100585
4653,0.12769899051652212,0.14496219204099656,0.880912386316618,-0.4334896077026852,0.06655219750191954,2.0283842057949815,0.5052139833800164,G_md,A_G_up,5,20,0.003,0.0223511712873415,5.6324951644100585
4653,0.12206649535211207,0.14500159034496957,0.8418286658905383,-0.44582627317373036,0.06092854239758331,1.8529794498433394,0.5051409440308857,G_md,A_G_up,5,20,0.005,0.0223511712873415,5.6324951644100585
4653,0.11361775260549697,0.14513184186095998,0.7828588898799045,-0.4638515698629516,0.05249305974107895,1.5908495973784593,0.5050313850071898,G_md,A_G_up,5,20,0.008,0.0223511712873415,5.6324951644100585
4653,0.10798525744108693,0.14526601300107161,0.7433621616660625,-0.47555602360276217,0.04686940463674273,1.4168564543499629,0.5049583456580591,G_md,A_G_up,5,20,0.01,0.0223511712873415,5.6324951644100585
4672,0.2606285681816576,0.12749392401509102,2.0442430507575238,-0.17852054328714972,0.2154128067778986,8.103126705631732,0.376188445693012,G_md,A_G_up,10,1,0.0,0.1425513698630137,35.92294520547945
4672,0.20674415037343846,0.1277164585492162,1.618774531661231,-0.212263063311537,0.16139096705480946,5.781603751472741,0.37733177569463344,G_md,A_G_up,10,1,0.003,0.1425513698630137,35.92294520547945
4672,0.170821205167959,0.12816543041297837,1.3328180978094792,-0.23917916126631356,0.12537640723941668,4.345987367892582,0.3780939956957143,G_md,A_G_up,10,1,0.005,0.1425513698630137,35.92294520547945
4672,0.1169367873597398,0.12928354781304213,0.9044985950481722,-0.3146736868469624,0.07135456751632754,2.354001642008315,0.3792373256973357,G_md,A_G_up,10,1,0.008,0.1425513698630137,35.92294520547945
4672,0.08101384215426036,0.1303194646862638,0.6216557315462911,-0.3644828714223405,0.03534000770093488,1.1281967782516091,0.37999954569841654,G_md,A_G_up,10,1,0.01,0.1425513698630137,35.92294520547945
4668,0.14282703179983539,0.13476494319604318,1.0598233369346228,-0.38374747937863574,0.09024056369829518,3.127871451865215,0.43049036996635304,G_md,A_G_up,10,5,0.0,0.06812339331619537,17.16709511568123
4668,0.11707638912631356,0.13483446064069207,0.8682972332888966,-0.4100252238530181,0.06443117728544892,2.1833572674624513,0.43097126581252676,G_md,A_G_up,10,5,0.003,0.06812339331619537,17.16709511568123
4668,0.0999092940106323,0.13502899302033144,0.7399099391609094,-0.4269390971126481,0.04722491967688472,1.5760517803650003,0.4312918630433093,G_md,A_G_up,10,5,0.005,0.06812339331619537,17.16709511568123
4668,0.07415865133711046,0.13554179663080407,0.5471275516518918,-0.4515900345186742,0.02141553326403846,0.6983723618820638,0.4317727588894831,G_md,A_G_up,10,5,0.008,0.06812339331619537,17.16709511568123
4668,0.05699155622142922,0.1360297064045813,0.41896404636737367,-0.4678751528992413,0.004209275655474274,0.13515193243823323,0.43209335612026556,G_md,A_G_up,10,5,0.01,0.06812339331619537,17.16709511568123
4663,0.19682738301619856,0.13638768750591684,1.4431462737987966,-0.35843670121256066,0.1432720484813283,4.614068829319222,0.43905609819221436,G_md,A_G_up,10,10,0.0,0.037315033240403174,9.4033883765816
4663,0.18272230045132615,0.13642193888053672,1.3393908776749917,-0.377437657319297,0.12910910532659847,4.103068520475956,0.4395304495344764,G_md,A_G_up,10,10,0.003,0.037315033240403174,9.4033883765816
4663,0.17331891207474456,0.13652769285768454,1.2694780703238788,-0.3898066256085657,0.11966714322344524,3.7686940161872515,0.439846683762651,G_md,A_G_up,10,10,0.005,0.037315033240403174,9.4033883765816
4663,0.15921382950987217,0.136810318834805,1.1637560007598469,-0.40792322207185416,0.10550420006871544,3.2768835205004945,0.44032103510491305,G_md,A_G_up,10,10,0.008,0.037315033240403174,9.4033883765816
4663,0.14981044113329056,0.13708100182282246,1.0928607111211586,-0.4197157957289882,0.09606223796556224,2.9556564502064253,0.44063726933308767,G_md,A_G_up,10,10,0.01,0.037315033240403174,9.4033883765816
4653,0.16592256272402894,0.1437883579415889,1.1539360007952217,-0.439035599443085,0.10567262528100695,3.080859549007349,0.49780388133710796,G_md,A_G_up,10,20,0.0,0.02149151085321298,5.415860735009671
4653,0.1577987716215144,0.1437639865849793,1.0976237886130067,-0.45069110334046714,0.09755583346468849,2.824563102451379,0.49774605103913827,G_md,A_G_up,10,20,0.003,0.02149151085321298,5.415860735009671
4653,0.15238291088650474,0.14379382227294915,1.0597319723322456,-0.4583360731251439,0.0921446389204762,2.6552549166969666,0.49770749750715854,G_md,A_G_up,10,20,0.005,0.02149151085321298,5.415860735009671
4653,0.14425911978399023,0.14390764336814077,1.0024423748983946,-0.469655238198616,0.0840278471041577,2.403746008109238,0.49764966720918896,G_md,A_G_up,10,20,0.008,0.02149151085321298,5.415860735009671
4653,0.13884325904898057,0.14402948423589162,0.9639919200264786,-0.4775797113768889,0.07861665255994538,2.2377731481475456,0.49761111367720906,G_md,A_G_up,10,20,0.01,0.02149151085321298,5.415860735009671
4672,0.22656153670230958,0.12778302619362922,1.7730174613254315,-0.17907069564369182,0.18112239079701786,6.640760177879815,0.3780469716984252,G_md,A_G_up,20,1,0.0,0.09503424657534247,23.948630136986303
4672,0.19063859149683013,0.12785037517745362,1.4911070165592224,-0.21333787269877758,0.14515999298371454,5.0644436778235455,0.37837521155893006,G_md,A_G_up,20,1,0.003,0.09503424657534247,23.948630136986303
4672,0.16668996135984382,0.12810694565262817,1.3011781719613895,-0.26295756481197885,0.121185061108179,4.087678873410876,0.3785940381326,G_md,A_G_up,20,1,0.005,0.09503424657534247,23.948630136986303
4672,0.13076701615436437,0.12880677835005747,1.0152184367113009,-0.33166283121368156,0.08522266329487571,2.731609094606635,0.378922277993105,G_md,A_G_up,20,1,0.008,0.09503424657534247,23.948630136986303
4672,0.10681838601737807,0.12948066994777616,0.824975543148344,-0.37392152054090466,0.06124773141934015,1.897457747977607,0.37914110456677497,G_md,A_G_up,20,1,0.01,0.09503424657534247,23.948630136986303
4668,0.18115290421173733,0.13149761479294902,1.3776136129691294,-0.24175543474594086,0.13160069664542157,4.51799305027232,0.4056509010394639,G_md,A_G_up,20,5,0.0,0.04884318766066838,12.30848329048843
4668,0.16269017927600468,0.13155931777498203,1.2366298490105327,-0.26846717518093866,0.11313121315619948,3.7980575500084006,0.4057062288128843,G_md,A_G_up,20,5,0.003,0.04884318766066838,12.30848329048843
4668,0.15038169598551623,0.1317116150554749,1.1417496924791166,-0.28728871864044214,0.10081822416338473,3.3342075037425865,0.40574311399516466,G_md,A_G_up,20,5,0.005,0.04884318766066838,12.30848329048843
4668,0.1319189710497836,0.1321060350046372,0.998583986304282,-0.3146505838973599,0.08234874067416263,2.6623503209543724,0.4057984417685851,G_md,A_G_up,20,5,0.008,0.04884318766066838,12.30848329048843
