src_code,src_name,dst_code,dst_name,n,beta,t,p
G900,驅動IC,GG00,電視,4673,-1.4058479429464353e-05,-0.000636679422580619,0.9994920033528624
GA00,其他零組件,G100,化學品(如光阻劑、靶材等),4673,0.06085680098351968,1.072007822480938,0.2837165186343522
GA00,其他零組件,G400,背光源(發光二極體、冷陰極管),4673,0.14515840169632743,2.2762829423811404,0.02282908038052502
GA00,其他零組件,G500,塑膠框,4673,0.1096880557143429,1.6918440343715435,0.09067571515073367
GA00,其他零組件,G600,稜鏡片,4673,0.19224753137923128,2.519646326583557,0.011747280229659466
GA00,其他零組件,G700,擴散膜、增亮膜、導光板,4673,0.14921918746685234,2.563828655682641,0.010352463721263083
GA00,其他零組件,G800,背光模組,4673,0.14088590892403477,2.230448770851871,0.025717664852920583
GA00,其他零組件,G900,驅動IC,4673,0.15070665198451305,2.5645523463662565,0.010330899481531016
GA00,其他零組件,GB00,面板,4673,0.1016348580379725,1.5722226194217745,0.11589893141491801
GA00,其他零組件,GC00,顯示器模組,4673,0.12639472755834785,2.0349728732912786,0.04185360254624217
GA00,其他零組件,GD00,生產製程及檢測,4673,0.10900711924758448,2.0013732171483705,0.04535218473870125
GA00,其他零組件,GF00,監視器/顯示器,4673,0.057487195579614875,1.1067532510544615,0.26840062523210484
GA00,其他零組件,GG00,電視,4673,0.031391913241534675,0.6522497695048852,0.5142400581503179
GB00,面板,G100,化學品(如光阻劑、靶材等),4673,0.02974430423521275,1.0921242200124799,0.274778505043733
GB00,面板,G400,背光源(發光二極體、冷陰極管),4673,0.03261951920045447,0.9386170432292782,0.34792739916502424
GB00,面板,G500,塑膠框,4673,-0.012962632759004564,-0.36179009142119517,0.7175088971929955
GB00,面板,G600,稜鏡片,4673,-0.004235591252038019,-0.10542881662029772,0.9160355511222413
GB00,面板,G700,擴散膜、增亮膜、導光板,4673,0.019558223128284813,0.6160545689234591,0.5378585050511513
GB00,面板,G800,背光模組,4673,0.02308922685879842,0.6784963712132801,0.4974570238670847
GB00,面板,G900,驅動IC,4673,0.0309513695185419,1.028221084486113,0.3038458425589823
GB00,面板,GA00,其他零組件,4673,-0.0018922739769606915,-0.06863086655068902,0.9452834488312227
GB00,面板,GC00,顯示器模組,4673,0.026116778008260257,0.6459150508235555,0.5183343718064182
GB00,面板,GD00,生產製程及檢測,4673,0.022575668494812393,0.7997422763832023,0.42386013326905436
GB00,面板,GF00,監視器/顯示器,4673,-0.015186893138057565,-0.5492298520417932,0.5828477204349594
GB00,面板,GG00,電視,4673,-0.02494803508158384,-0.9272318821573968,0.3538061527711913
GC00,顯示器模組,G100,化學品(如光阻劑、靶材等),4673,0.0030787922607024864,0.08317636619859664,0.9337113046511369
GC00,顯示器模組,G400,背光源(發光二極體、冷陰極管),4673,-0.024347637956729718,-0.55049350059163,0.5819809335324125
GC00,顯示器模組,G500,塑膠框,4673,-0.016297072929589936,-0.36533654729671805,0.7148602002250433
GC00,顯示器模組,G600,稜鏡片,4673,-0.06383487998757145,-1.1995473678665445,0.23031517788360445
