scope,n_chains,mean_beta,median_beta,mean_t,share_pos,share_sig5_2sided,share_sig10_2sided,share_sig5_pos,share_sig5_neg
EW-M 中游->下游,17,-0.08643690952356384,-0.09610896649349787,-0.4096268308947275,0.4117647058823529,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.058823529411764705
EW-M 下游->中游,17,0.12266595553674768,0.16121598853976418,0.43163822689187503,0.7058823529411765,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0
VW-D 上游->下游,22,0.02803734936995096,0.031835954346927285,0.9338813038775883,0.7272727272727273,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.0
VW-D 下游->上游,22,0.021559254633521454,0.010521521912805396,0.5804460697610356,0.6363636363636364,0.18181818181818182,0.22727272727272727,0.18181818181818182,0.0
VW-D 上游->中游,21,0.025717495536877886,0.015224697461830496,0.7089151548842756,0.6190476190476191,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.0
VW-D 中游->上游,21,0.029290776621076136,0.03458677969405272,0.6997664061127468,0.7619047619047619,0.23809523809523808,0.2857142857142857,0.19047619047619047,0.047619047619047616
VW-D 中游->下游,17,0.01540375335170382,0.020314094104451164,0.7273886571332954,0.6470588235294118,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.0
VW-D 下游->中游,17,0.04105166169269495,0.01697797377725429,0.6680028761628339,0.5882352941176471,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.0
VW-W 上游->下游,22,-0.05245986924026829,-0.040179380022322686,-0.44743086697712536,0.3181818181818182,0.045454545454545456,0.13636363636363635,0.0,0.045454545454545456
VW-W 下游->上游,22,0.04602034144581202,0.043084939909087544,0.423700580606214,0.6818181818181818,0.0,0.18181818181818182,0.0,0.0
VW-W 上游->中游,21,-0.055935887267892864,-0.01675460597760165,-0.37772641865669765,0.3333333333333333,0.09523809523809523,0.19047619047619047,0.0,0.09523809523809523
VW-W 中游->上游,21,0.06588143543296862,0.043769529805784926,0.42710542172045923,0.6190476190476191,0.14285714285714285,0.19047619047619047,0.09523809523809523,0.047619047619047616
VW-W 中游->下游,17,0.06599992459729186,0.0479526198609404,0.373634462492879,0.7647058823529411,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.058823529411764705
VW-W 下游->中游,17,-0.050793887539772827,-0.041811229083621324,-0.1834161154069093,0.4117647058823529,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705
VW-M 上游->下游,22,-0.07875480520999312,-0.04001683519456198,-0.3853409915428227,0.3181818181818182,0.09090909090909091,0.13636363636363635,0.045454545454545456,0.045454545454545456
VW-M 下游->上游,22,0.03431296346379811,0.04016300353061612,0.22233584850925886,0.6818181818181818,0.045454545454545456,0.09090909090909091,0.0,0.045454545454545456
VW-M 上游->中游,21,-0.038412682438174806,-0.010125138760812804,-0.1625736834819637,0.47619047619047616,0.09523809523809523,0.14285714285714285,0.047619047619047616,0.047619047619047616
VW-M 中游->上游,21,0.023698058042728187,-0.015687139070557785,-0.1226799457808726,0.47619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616
VW-M 中游->下游,17,0.008409895317324934,-0.027555879197334453,-0.17410150026506813,0.47058823529411764,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705
VW-M 下游->中游,17,-0.026310805945996926,-0.054966072420063516,-0.015044805836756936,0.4117647058823529,0.0,0.0,0.0,0.0
