date,rank,stock_id,score,yoy,status
2013-04-30,-1,3010,0.08210798927462327,-4.71,rejected_yoy_neg
2013-04-30,-1,6207,0.05814497028400432,-20.62,rejected_yoy_neg
2013-04-30,-1,6223,0.04877920492586232,-9.77,rejected_yoy_neg
2013-04-30,-1,3402,0.028390307029643992,-16.17,rejected_yoy_neg
2013-04-30,-1,3030,0.007848765641516398,-31.14,rejected_yoy_neg
2013-05-31,1,8383,0.28381095056631195,30.55,selected
2013-05-31,2,1711,0.09438524109989212,7.46,selected
2013-05-31,3,3010,0.07610700207590684,8.44,selected
2013-05-31,4,6208,0.042022146337795475,3.06,selected
2013-05-31,5,1742,0.0338278156231007,38.45,selected
2013-05-31,6,3402,0.017847421521367434,74.55,selected
2013-05-31,7,2467,0.0016481575756570764,39.74,selected
2013-05-31,-1,4720,0.2844152167727493,-3.11,rejected_yoy_neg
2013-05-31,-1,6207,0.04712937779864876,-12.33,rejected_yoy_neg
2013-05-31,-1,6223,0.019981040267989063,-6.66,rejected_yoy_neg
2013-05-31,-1,3551,0.0034277819851956243,-0.02,rejected_yoy_neg
2013-06-28,1,3010,0.06579474072952403,16.01,selected
2013-06-28,2,1711,0.06059622115972881,10.62,selected
2013-06-28,3,6223,0.017370362250862564,2.38,selected
2013-06-28,4,6208,0.016324917349962817,18.45,selected
2013-06-28,-1,4720,0.2880638412009645,-10.67,rejected_yoy_neg
2013-06-28,-1,8383,0.26813217957507784,-5.36,rejected_yoy_neg
2013-06-28,-1,1742,0.023951478861483112,-36.3,rejected_yoy_neg
2013-06-28,-1,3402,0.009764551892210708,-13.99,rejected_yoy_neg
2013-06-28,-1,6207,0.008773892594488452,-6.41,rejected_yoy_neg
2013-07-31,1,1711,0.048527422163669356,7.81,selected
2013-07-31,2,6208,0.013562127865717288,14.2,selected
2013-07-31,3,6223,0.003540415877618826,7.65,selected
2013-07-31,4,6277,0.0004250037939663544,2.88,selected
2013-07-31,-1,4720,0.26556841361098565,-11.6,rejected_yoy_neg
2013-07-31,-1,8383,0.2559469019883023,-32.45,rejected_yoy_neg
2013-07-31,-1,3010,0.09721205468473755,-6.87,rejected_yoy_neg
2013-07-31,-1,1742,0.03352541240430964,-4.55,rejected_yoy_neg
2013-07-31,-1,6207,0.02322806524794471,-29.79,rejected_yoy_neg
2013-07-31,-1,2467,0.00311343750226315,-2.52,rejected_yoy_neg
2013-08-30,1,8383,0.18697432751628157,65.09,selected
2013-08-30,2,3010,0.12418539431354639,13.8,selected
2013-08-30,3,1711,0.0567216769095294,3.84,selected
2013-08-30,4,1742,0.05495332966157653,95.39,selected
2013-08-30,5,6223,0.004552450896506399,19.71,selected
2013-08-30,-1,4720,0.26028824547346546,-5.88,rejected_yoy_neg
2013-08-30,-1,2467,0.03504492670667722,-23.3,rejected_yoy_neg
2013-09-30,1,3010,0.11503615381394035,19.38,selected
2013-09-30,2,1711,0.07160232118757758,5.75,selected
2013-09-30,3,1742,0.006174614296603673,17.14,selected
2013-09-30,-1,4720,0.28064448066829895,-13.34,rejected_yoy_neg
2013-09-30,-1,8383,0.1814594429938428,-0.92,rejected_yoy_neg
2013-09-30,-1,2467,0.03171234592845192,-23.47,rejected_yoy_neg
2013-10-31,1,8383,0.1788114603068871,125.24,selected
2013-10-31,2,3010,0.11740173572586747,22.39,selected
2013-10-31,3,1711,0.07606232729966235,11.11,selected
2013-10-31,4,2467,0.04039580040644428,31.92,selected
2013-10-31,-1,4720,0.21783423581794337,-1.84,rejected_yoy_neg
2013-10-31,-1,3402,0.004276186725943358,-9.28,rejected_yoy_neg
2013-11-29,1,3010,0.13854216069401384,9.93,selected
2013-11-29,2,2467,0.12079676381859415,19.76,selected
2013-11-29,3,1711,0.05324733088494823,7.99,selected
2013-11-29,4,3030,0.050102320788634865,6.09,selected
2013-11-29,-1,8383,0.07698412362725573,-39.28,rejected_yoy_neg
2013-11-29,-1,4720,0.04877371683123369,-4.16,rejected_yoy_neg
2013-11-29,-1,3535,0.03591754675732205,-46.27,rejected_yoy_neg
2013-11-29,-1,6207,0.0016153073099464748,-25.66,rejected_yoy_neg
2013-12-31,1,3010,0.16265938772802843,15.3,selected
2013-12-31,2,2467,0.11127683349550287,15.37,selected
2013-12-31,3,3535,0.0577534732893566,497.04,selected
2013-12-31,4,1711,0.033356301299245175,8.96,selected
2013-12-31,5,4720,0.00749398692254518,8.14,selected
2013-12-31,-1,3030,0.0690753443997357,-35.7,rejected_yoy_neg
2014-01-27,1,3010,0.16969334684183626,16.41,selected
2014-01-27,2,3535,0.09538727638905664,277.63,selected
2014-01-27,3,4720,0.048913581913868354,8.22,selected
2014-01-27,4,1711,0.02803059192872138,42.49,selected
2014-01-27,-1,2467,0.12271853755103257,-37.7,rejected_yoy_neg
2014-01-27,-1,3030,0.07611468041706128,-8.75,rejected_yoy_neg
2014-01-27,-1,3305,0.04263381857176254,-4.43,rejected_yoy_neg
2014-01-27,-1,6207,0.023519631580325447,-9.37,rejected_yoy_neg
2014-02-27,1,2467,0.1356788313330949,22.91,selected
2014-02-27,2,3010,0.11722863632876228,13.25,selected
2014-02-27,3,3535,0.08240747804106106,3663.41,selected
2014-02-27,4,1711,0.03378541241557262,14.53,selected
2014-02-27,5,1742,0.008137966747973867,10.46,selected
2014-02-27,-1,5536,0.10805777960617491,-37.15,rejected_yoy_neg
