A,A_name,n_A,B,B_name,n_B,n,beta_AB,t_AB,p_AB
D000,半導體,297,W000,油電燃氣,11,4673,-0.013278938481006416,-0.3912046196982701,0.6956459938489363
D000,半導體,297,X000,其他,256,4673,0.09784247255626437,2.2203398615833674,0.026395705992931562
D000,半導體,297,Y000,文化創意,35,4673,0.09632045203240608,1.9038895228604256,0.05692457390813348
F000,電腦週邊,303,1000,水泥,10,4673,-0.00011887698331548116,-0.0012977630032974942,0.9989645352267408
F000,電腦週邊,303,2000,造紙,8,4673,-0.03578848656877648,-0.35830859784420066,0.7201123845384256
F000,電腦週邊,303,3000,汽車,69,4673,0.05046418356310134,0.6752059910868565,0.4995449008253483
F000,電腦週邊,303,4100,太空衛星科技,14,4673,0.08517265525965603,0.792030059531325,0.4283431491982408
F000,電腦週邊,303,5100,區塊鏈,7,4673,0.1655569225993441,1.4709609000806672,0.14130169128635128
F000,電腦週邊,303,5200,金融科技,18,4673,0.11881598768434476,1.2384283069027935,0.21555729004965174
F000,電腦週邊,303,5300,人工智慧,61,4673,0.10019257490676721,1.0667857087613357,0.2860686134369087
F000,電腦週邊,303,5400,雲端運算,59,4673,0.09178886551415094,1.0524323459704368,0.29260123489625656
F000,電腦週邊,303,5500,資通訊安全,33,4673,0.10682996635415513,1.2549687912047778,0.20949008953088266
F000,電腦週邊,303,5600,大數據,40,4673,0.10398332335725903,1.225205537348074,0.22049778866990766
F000,電腦週邊,303,5700,體驗科技,19,4673,0.056063316100073556,0.5554513111745525,0.578586004273064
F000,電腦週邊,303,5800,運動科技,24,4673,0.11912918850180768,1.3510295322518284,0.17668597270531505
F000,電腦週邊,303,6000,自動化,13,4673,0.16199059937231747,1.57398312105695,0.1154913516787889
F000,電腦週邊,303,B000,休閒娛樂,70,4673,0.04534860652460956,0.5926892212790186,0.5533891562800608
F000,電腦週邊,303,C100,製藥,78,4673,-0.04454407745099561,-0.4184100852028268,0.6756473141444385
F000,電腦週邊,303,C200,醫療器材,118,4673,0.08802382150715386,1.1369188073971568,0.25557222906337096
F000,電腦週邊,303,C300,食品生技,40,4673,0.03086835961711146,0.3413500012693522,0.7328401102297766
F000,電腦週邊,303,C400,再生醫療,11,4673,0.03793206076354338,0.34014937514741245,0.7337440401967643
F000,電腦週邊,303,D000,半導體,297,4673,-0.07688285246299131,-0.7227032197905031,0.4698622369984572
F000,電腦週邊,303,G000,平面顯示器,131,4673,0.16095725459531518,1.7069325902231578,0.08783458247041921
F000,電腦週邊,303,H000,觸控面板,45,4673,0.09659482479448911,1.0431280239445408,0.296889003113328
F000,電腦週邊,303,I000,通信網路,162,4673,0.18200861150304148,1.7541632173374737,0.07940254392313643
F000,電腦週邊,303,J000,被動元件,51,4673,0.13067695137854715,1.2883928967230045,0.1976092301447685
F000,電腦週邊,303,K000,連接器,57,4673,0.19713518798679755,2.1273152086618854,0.033393901936547406
F000,電腦週邊,303,L000,印刷電路板,94,4673,0.10787710080376144,1.090749986864488,0.2753829087309435
F000,電腦週邊,303,M000,食品,59,4673,-0.060716870788421695,-0.8893665860046319,0.3738060966249508
F000,電腦週邊,303,N000,石化及塑橡膠,89,4673,0.01219787483235174,0.16469006844113493,0.8691879344736363
F000,電腦週邊,303,O000,紡織,74,4673,-0.06209014700022571,-0.8448552606214829,0.39819165642256626
F000,電腦週邊,303,P000,電機機械,131,4673,0.004792954320122677,0.0690034648730231,0.944986861505764
